boltzmann a,boltzmann b,boltzmann c,Optimistic boltzmann a,Optimistic boltzmann b,Optimistic boltzmann c
6.6694778243,6.3495509965,6.670243168,9.9583349586,9.9409757258,8.5237698805
6.3764951784,6.5414307902,6.682295359,9.4452877523,8.0045829682,9.4214796597
6.3128844081,5.5119294359,6.6346833249,9.1096038426,9.2594181721,8.9779035415
6.2495754748,6.2434759377,6.8984926371,9.2432562108,9.3292184221,7.8854409809
6.6924733489,6.0457817703,6.4314769636,8.5186379285,8.499385532,7.6261177976
6.573362832,6.41473309,6.8461715563,10.1802394138,10.1870067475,8.0265652057
6.7028424434,6.1869365098,6.8960760107,9.682961084,8.0193007359,8.2869387175
6.7330495503,6.3701546721,6.6973151077,8.5201043749,7.4933184969,11.0482429737
6.736299742,6.7598452368,6.7461790751,8.8390709214,7.9137569198,9.315483392
6.6960993836,6.1265381158,6.6884083367,10.092942326,7.5157492817,10.4499769033
6.4100623175,6.3128889985,7.1928812273,8.3788378146,7.0868100069,6.3357729714
6.6712035432,6.4217624523,6.8371355475,10.0355321479,8.4978879429,9.1804522804
6.6118128909,6.5354383289,6.619591722,9.7747365404,8.5389576051,9.1640770949
6.6782933158,6.5346187289,6.9092241347,9.236700368,9.2507308082,8.502577742
6.6130487626,6.4829990534,6.7827411009,8.9484335629,9.2517581379,9.2980101171
6.6072608448,6.3871083134,6.668705439,10.0598472046,8.9293947705,9.0033689742
6.7404514791,6.2966199628,6.4513531689,9.3294190427,9.9431609811,9.8742722678
6.652757883,6.5522446756,6.8336359568,10.2018904662,8.416617179,9.6480043098
6.6743935641,6.3825592249,6.7179924364,9.3789901497,7.6820583767,8.8030961157
6.7697268867,6.3740948609,6.6780264276,8.5653379995,8.4294329908,9.2731444585
6.2472691917,6.583098271,7.0836956688,9.6479512435,9.2436804432,8.2372739224
6.7958640994,6.2551048069,6.675754516,8.8084276414,9.7790629036,7.6830758248
6.6205301441,6.47624837,6.7871832008,9.3555465377,8.3073085495,8.7684138839
6.6347948932,6.3689725547,6.7137370917,8.9680015538,8.4591021416,9.2499385617
6.3236867645,6.0471776582,6.438753271,9.1912599231,9.0820806486,8.4228436198
6.2311708844,6.3559075256,6.9737080257,8.7181077982,8.5514280496,9.1633678216
6.7122212764,6.1574743127,6.5003076361,9.3564627296,8.2418775681,9.5886375399
6.7536804491,6.3918985244,6.4796701005,8.6061190561,8.5539833409,9.6862646429
6.6524047657,6.270033707,6.8424935164,9.3424668532,8.4934944696,9.4544882801
6.666641909,6.3927504901,6.4342555436,9.6903490358,10.2427166109,8.5821856341
6.7439189484,6.6033270071,6.5634920113,9.4263487593,8.8264170756,9.499281771
6.6297970097,6.5804538024,7.0148771841,10.1560980939,8.9645696768,9.6131366287
6.308758036,6.2704444396,6.9799647802,8.9510647437,10.184412142,10.8676050783
6.666780644,6.5343911503,6.9095018397,10.3784778859,8.6246179682,8.3964452317
6.7393241984,6.5627511182,6.6777494454,9.3373551669,8.5483293076,8.4090011477
6.6687593781,6.5023668231,6.5653168658,10.0588523357,9.764026476,8.5803848373
6.624864522,6.5621197265,6.364112219,8.850036857,9.252936638,8.1010294981
6.6600050887,6.3648630133,6.7586979439,9.7661820891,9.7793518655,9.0344472057
6.6399182704,6.4104263771,7.0356941963,8.6295114149,6.9945340529,8.918943994
6.6495330423,6.4681905526,6.9215275706,9.2276631897,9.560448087,9.6715004949
6.7381071467,6.3276305568,6.9147013067,5.6959052593,8.8422552681,10.5851760565
6.6728751705,6.4818591117,7.1033772843,8.8970724513,9.0350097395,8.7299057711
6.6637930229,6.4581106102,6.58298411,10.0698392355,8.9334112226,7.83258442
6.7202920809,5.8702442522,6.6767280798,9.7754853537,10.878967014,8.552843737
6.654272542,6.4586248932,6.7539745656,9.9603206531,10.6781993177,8.5699556498
6.736990882,6.7112359944,6.5594049231,9.1550928622,8.4258829479,10.6246264901
6.6293952069,6.394119116,6.7468808334,9.2700716775,8.5438386755,10.5652828951
6.8011575258,6.5226250196,6.6736818198,9.2830294012,9.2402566387,10.1086058923
6.3197423618,6.5523435486,7.0395725068,8.9679410494,8.9697629096,10.6429054414
6.6274004521,6.4464758515,6.8715058843,10.591880828,8.8358908761,9.0589974631
6.6333978232,6.335894546,6.7059656635,10.9857335012,9.7401970352,8.1533225955
6.6347294314,6.6406077899,6.724908032,7.3099662015,8.0081286744,10.0374452519
6.4030607569,5.7401507512,7.1100326636,8.9524426028,8.5466831068,8.9527111301
6.665401327,6.5719723955,6.9366100599,8.9425564034,10.4851076,7.4366006521
6.6876195418,6.4186770435,6.5400246961,9.9699031804,9.6587990114,9.4624851341
6.4212297053,6.387526813,6.8151122694,10.0393189491,9.5555523835,8.4683018515
6.7021485375,6.2069947711,6.8289300118,9.3650836202,9.3498496576,9.814013026
6.8212133281,6.7895912037,6.3020926336,9.3739100556,9.6748657646,8.1179705011
6.6949636535,6.5400497704,6.690031582,8.8521360261,9.1426843865,8.8945338306
6.7725635515,6.5832468096,6.7648659944,10.6198678849,7.7170998058,9.2457068423
6.6952632103,6.6345072455,7.0298007835,9.5699100757,8.9440808357,8.5570988668
6.7385453335,6.4856704121,6.283892675,10.1840696381,8.8426100636,9.1095057125
6.7033524983,6.7423188166,7.0742785609,9.6718149606,8.4325547951,10.0500055564
6.5568715711,6.4930026322,6.4372150386,9.7715482399,9.4558298669,8.3772969215
6.7463299937,5.9084917379,7.0425347281,9.2352003177,10.0725758251,9.1054132669
6.7064073463,6.5954953399,6.9621967495,8.4386691261,9.2620570248,9.2103923805
6.6788002658,6.7661243395,6.396019831,8.9439560508,9.6522251368,7.6324371996
6.8036366055,6.7755372314,6.656883379,9.829562,8.7322273353,8.4999000104
6.6105544384,6.5883452028,7.0325315851,9.4103497931,8.4402771458,9.1786655564
6.7930138955,6.5911936463,6.7545946409,10.8600229728,9.2500704153,8.7418120157
6.7321491046,6.6108074067,6.8894395279,9.9383929759,9.2484734075,8.9490292887
6.7201440306,6.3467417592,6.851051791,9.3429636988,10.0844951416,10.7865642577
6.7969662039,6.4761655799,6.940214353,9.2788937271,9.3320532123,9.514342101
5.9756790482,6.613782199,7.2164880118,9.1203911398,7.3230322688,9.3732611069
6.6763999659,6.1339968457,6.9070854758,10.6085529041,8.224870153,8.6837570517
6.8436004253,6.5388622124,6.6792027868,9.3769788498,8.5471331941,6.2873439569
6.7998890191,6.4055350729,6.5679157346,8.2995809228,8.0244986851,8.0081931345
6.787752707,6.5516480087,6.7754101125,9.7693885388,9.6438051263,9.5267813631
6.7011586775,6.3568600729,7.0958880116,10.3646428637,9.3584545757,8.1877984571
6.7221852757,6.6987563296,7.0250404541,9.241158008,10.0715833599,9.5234755748
6.651025648,6.427537936,6.9445030174,8.5107427378,8.8294980885,8.8097511829
6.4130308675,6.3010433075,6.5911349885,9.6548488813,10.4715684548,10.2361726555
6.7859554414,6.8970748392,6.655405636,9.8784031509,9.3567697714,9.5646844686
6.7183645566,6.3709238175,7.0496305901,9.7095445911,9.5598473842,7.6882880512
6.6818251698,6.3601728784,7.0174253119,8.8450235718,7.9152231001,9.7919014959
6.6292185488,6.4990150679,7.0841475543,8.0422666846,9.2553946525,10.3361196603
6.6538294432,5.7906130435,6.5819108103,9.7661132487,9.9797557912,8.550294817
6.7604485985,6.4359336898,6.8569746817,8.5296186952,8.7685833822,8.9484018222
6.730278594,6.9079050234,6.9779252976,8.7829133287,9.6581375649,8.2672542299
6.692871748,6.5209492656,7.1062348135,9.227133202,9.9532717808,10.5066561366
6.6882344735,6.8917774987,6.9592414643,8.1032225193,8.1938997158,8.5361366995
6.7672296013,6.8509191247,6.4757465195,10.4657206366,8.4366444984,10.6435992816
6.7106974068,6.699950217,6.984900371,8.8371260245,8.0341365375,6.4432058745
6.8155561633,6.6556703043,6.3525194597,8.8590240738,8.2554001957,8.9537433386
6.7413343414,6.3669849271,7.4134790564,9.6419353596,8.5515707402,9.5571950151
6.3788586131,6.6297663495,7.0197877449,9.5353440475,9.6656911484,8.8713813775
6.7769802345,6.1571182882,7.1746977729,9.3436407958,9.6391173215,9.8971871266
6.7484956376,6.4511484217,6.9772765038,9.9402275585,8.8312949287,9.3124128564
6.3927946686,6.3150708175,6.4723761581,10.0831871249,7.926443621,10.1493160948
6.6539212417,6.7567207412,7.0192531528,9.5379725449,10.1815470782,9.2591207494
6.4901766534,6.8039996523,6.7478713734,10.4485266704,8.8608698418,8.2785832938
6.7627767969,6.833317026,6.4178025346,7.7079845044,8.4389835873,10.4995099854
6.8027589467,6.4540715585,7.166425554,9.8023496743,8.0145670103,8.403095515
6.0667973482,6.6691298026,6.8732324483,8.172090576,8.2852702214,9.3641192741
6.3387299056,6.4819493897,6.6475841348,9.6573078087,10.1632265344,8.867343836
6.3673959243,6.3628365855,7.0526306299,9.2688727794,10.1718222714,9.7672166869
6.3867462564,6.4715674425,6.7909483926,8.5258362568,9.1413105183,8.1941096165
6.7514939541,6.4972469451,6.1782383541,9.0349544423,9.7676559517,9.5092871104
6.6842954634,6.5578365621,6.6610165564,6.9829672431,8.0398442633,8.6030596313
6.7784339971,6.5000501244,7.2660161314,10.0772088649,8.8482488958,10.7737984698
6.7530461495,6.4780295776,6.8632483316,9.9834070047,9.5709432408,8.9905123403
6.6425002189,6.5943640542,6.6327955135,9.1355124752,9.7599951811,9.7431308209
6.711253207,6.9029195463,7.1100048028,9.5641392217,9.2602078398,8.7282788943
6.7487004689,6.6209306289,6.6102516516,9.7745216256,8.5348608178,8.0947092428
6.6513497891,6.5323659225,6.8861479355,8.5684728292,10.0857504364,9.1912569244
6.8377695355,6.5690552871,7.0364069837,9.6580124354,9.4473156375,8.9166191537
6.8354654654,6.4509757712,6.5808739865,9.7567072282,9.2457974894,9.7578773506
6.630644928,6.4349526258,7.0192178738,8.8440408331,10.0735143285,8.6176713351
6.7363958794,6.6811972064,7.1888427976,9.5391097102,9.3526726977,10.0158292675
6.7405846121,6.6199162853,7.1429137149,9.2593057933,8.9435509982,10.302963756
6.7060602847,6.5523438363,6.546661641,9.9117090412,7.713609767,8.5600289421
6.6885717032,6.4828888898,6.6215265817,10.5199776631,8.5360945443,10.1445609762
6.723989642,6.5938053537,6.7648471989,9.2345998927,9.754833257,9.4932038956
6.767594261,6.5595927779,7.0444349648,9.7772174666,7.6219080418,9.0536101844
6.6965952792,6.0857953818,6.8279955774,10.2012948919,7.6032480924,9.4847439368
6.6941500827,6.125795373,6.8291209549,8.9519300107,8.9566144765,8.8492206879
6.7645638661,6.2916552335,6.9301534535,9.3800783178,8.1269369607,9.7667293408
6.6400724512,6.4846091683,6.4529841858,9.2361203288,8.4910240911,9.343760878
6.697301275,6.4607309099,6.5419416516,9.7684251667,10.3747681537,9.1732137792
6.7160625888,6.6271405646,7.0587111767,10.2963125823,9.1415476514,8.3141605773
6.5854091541,6.5786409543,6.8335616225,10.5095421419,7.740807627,9.2630224882
6.6315287777,6.2806066861,6.4699358083,9.7781377067,8.5198352264,9.7427631279
6.7530655172,6.6342594599,6.9497846224,9.4343007395,10.8790518796,8.8906705249
6.8225797904,6.4655400401,6.868578499,9.4112177433,10.5902527448,9.0736789184
6.5873241566,6.3195758711,6.8375820298,9.7878768058,10.1721791858,10.3817851718
6.7258323846,6.4495388415,6.816558266,10.5953199648,9.3574977357,10.1241178657
6.7681998335,6.5005996386,6.8553084375,9.5461488141,8.8290428374,9.2570515562
6.3472226445,6.5062935116,7.0184340867,9.6561563515,8.9515266624,7.6241505634
6.8401255546,6.9532978923,6.8810557252,10.0615123098,7.5050068422,10.2504653911
6.655954441,6.5330438951,7.0035675999,9.4444364701,7.3028459359,8.8133081038
6.8265363325,6.3738771067,6.8191104554,10.1901006139,8.4190521838,10.2087224998
6.7030368419,6.3715224006,6.832012199,9.2548406018,6.7110532728,8.4352488139
6.6935770092,6.2272359818,7.1062591106,10.0866875298,8.7252601456,8.779342884
6.694690951,6.2233022027,7.2182908089,9.7686453518,9.3730455291,7.5697686248
6.6348191413,6.381622497,6.5046408552,9.3706804276,10.4845627893,10.0191090057
6.6875587725,6.5108119837,6.5337083868,9.2662548303,9.2469273758,9.1517880614
6.6251757823,6.4884151076,7.0395542347,9.3630011291,9.9618162754,7.9213967263
6.6864736083,6.7250436785,7.1616043992,9.7822087968,8.4324069702,10.0146433944
6.7582977153,6.3208631492,6.7186882428,10.4525823889,7.7287321431,8.882043993
6.7633269767,6.7229408241,7.0553979718,10.1977971357,9.6509674629,8.3653978118
6.7789241209,6.4957200494,6.6254956742,9.3809015946,8.5557130923,7.1191708418
6.7260309449,6.2144558113,6.642379897,10.596784393,8.5268915687,10.527174928
6.0357460685,6.3927321097,7.1988238137,10.1758103138,9.6561607648,9.3155097836
6.6339067606,6.1574279237,6.2601639304,8.13558091,8.4427984184,8.4789038837
6.6850248527,6.7925101719,6.9725656624,9.090059018,8.8430751089,9.0599011254
6.7977421289,6.5133639731,6.593563124,8.870835984,8.2516510867,7.67970151
6.5988967846,6.8564636725,6.8209567292,9.6336431383,9.7675693629,11.1402144759
6.6901671283,6.8716450865,6.8069031023,9.2668632254,9.549902408,9.8813276708
6.6700645148,6.3478898016,6.2051103157,10.1059272072,8.943836551,8.6336045139
6.6322724254,6.7722107055,6.9076415007,9.7022028619,9.5597240158,9.1565353307
6.5863565325,6.5418422454,6.9628514504,10.0659330504,8.130584628,9.4295901078
6.3142747718,6.7405815502,6.3780860295,9.645275533,9.3455354491,8.6627858236
6.8291023566,6.5054273157,7.2626331097,7.2318347035,9.9462108086,9.0080203272
6.7918467877,6.2463678786,7.0609604577,9.2547732235,9.6674924362,8.9282132015
6.5275894294,6.6747246966,6.8505007608,8.9516098095,9.2503692975,9.469243462
6.7843667676,7.0179027886,6.5025530732,9.3280564352,8.8413602825,9.9311821689
6.770839068,6.5187789874,6.8674215664,9.2914612795,8.6462782282,9.6086222387
6.726047695,6.3364812576,6.9864787418,9.3366936836,9.7739713587,8.7441196583
6.690187531,6.6465905399,6.8583394738,8.9151292221,9.9630316287,9.4340318861
6.8853566038,6.7880931145,6.724900714,9.252242476,9.7465649038,9.4701388008
6.8122347678,6.5503490856,6.8378076323,8.7156886989,9.3667057785,10.4898910586
6.6772039523,6.3270395317,6.9326181302,9.6118774556,8.8383486332,7.5962986317
6.7921402817,6.5163893617,6.8791389779,10.1800516526,8.4908035557,7.6120442193
6.7264761388,6.7775211128,7.0663085042,9.6757066567,8.1256621723,10.1562755659
6.6718931012,6.5336130837,6.3891933588,9.6617733877,9.238295005,8.3160515402
6.7250847021,6.7349636204,6.1045631938,9.5352808989,9.6636950329,9.8253193153
6.7168941781,6.247140492,7.0866066998,10.5659336078,9.2953118304,10.2430196883
6.6903554376,6.4108421702,6.481245143,10.1691771959,8.8440910547,8.5325296211
6.7008537815,6.6076511534,6.6159696104,10.0813429728,9.7551474789,9.4984269163
6.7765366094,6.525247518,6.6242507208,9.6521348906,7.9082714297,9.9513108549
6.8570562475,6.6166980551,6.7268062425,9.7875724863,9.1175034949,8.7633967879
6.7169288045,6.5651960052,6.921684407,10.3575933821,9.2464446285,9.627146023
6.7460608295,6.4504793829,6.9047823102,9.6391994299,8.5482589297,10.1762580559
6.7636613609,6.5020721578,6.9598704611,8.4454551881,9.2618463234,9.6279167863
6.6752620878,6.6822822448,6.7970160895,10.0801281214,9.7404239624,11.0754191157
6.7772562171,6.761875284,6.8664363776,10.4886091384,9.3731296439,10.0426835742
6.7961981487,6.3288759621,6.8773406395,9.7720945553,8.5395185676,9.7313038312
6.7156711526,6.7963661588,6.8029950854,10.1722854873,9.771613168,10.2074620288
6.9056909975,7.1161904834,6.8725632463,9.3684335242,9.5911312416,9.4128624806
6.6669475603,6.4716127188,6.6614288349,8.9729504169,9.9564760553,10.3189013608
6.7521566908,6.5282362126,7.0675425407,9.2720878561,9.5517697736,8.4706371563
6.7443873176,6.5792541475,7.1316322076,9.3032620457,9.9226924953,9.1068272463
6.7627530984,6.7867357991,6.6106392727,10.4603180541,9.6669686498,8.5172992459
6.8635863333,6.7435184738,6.5841738724,9.6694039657,8.8427902838,8.4494993928
6.8130080647,6.6207926497,6.882411258,9.771852047,9.6739334298,8.4553766393
6.7233274664,6.8145802516,7.2223268454,10.1741683741,9.8485515082,9.8968128735
6.7996009193,6.7386109596,6.9744192017,9.1671446062,9.2310361207,7.84112408
6.616014392,6.6000382497,6.9802140325,10.1804477375,8.4576898105,8.3016320635
6.6098109544,6.1931920276,7.1274708001,8.4181378098,9.6507584916,8.7362442304
6.6417678133,6.3952789998,6.6748031356,9.1210919924,8.0426084875,9.9165799103
6.6139006749,6.3486993842,7.0294688162,9.2640820358,9.3589989527,9.4040744593
6.8457631552,6.8132462984,6.8451905345,9.1266457769,8.850751656,10.1204008021
6.7839965843,6.4605855796,6.8083626175,9.3410799057,10.1921203491,9.4070697383
6.4554608609,6.5569471769,6.8232683069,10.1812178892,8.6071954513,8.7455191334
6.8782469703,6.4644869672,7.2249742735,9.7646270183,9.2640996175,9.2148327489
6.827606891,6.4499942385,6.5366042736,10.9107903265,9.7718656894,9.857016036
6.8071270234,6.6902521826,6.7891166933,9.9456776847,8.8553229222,10.1649078934
6.7532456974,6.4383984862,6.6354628878,9.7582453104,9.6779272191,7.65410471
6.6482335319,6.710127791,6.5897787076,8.9136845907,7.8881529326,9.2849613452
6.6248253937,6.5488755751,6.5905358318,9.8139428294,8.7936158696,8.6596550287
6.7683550531,6.7573451567,6.7495562339,9.6374338021,9.6553704089,10.2914729714
6.7486745172,6.1451737837,6.8165579906,9.760530127,9.6477593715,9.5441983281
6.4989800876,6.4252328142,6.5445220428,9.2344141123,10.5908635329,7.919258377
