round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.4916,0.4988,0.4720,0.4908,0.4892,0.4948,0.4900,0.4952,0.4836,0.4792,0.4936,0.5012,0.4968,0.4988,0.4852,0.4940,0.4928,0.4776,0.4768,0.4812,0.4880,0.4936,0.4784,0.4844,0.4860,0.4808,0.4860,0.4960,0.4780,0.5084,0.4908,0.4952,0.4932,0.4816,0.5024,0.4844,0.4892,0.4880,0.4844,0.4876,0.4796,0.4892,0.4888,0.4956,0.5036,0.4924,0.4776,0.4888,0.4880,0.4936,0.4908,0.4688,0.4916,0.4860,0.4704,0.4892,0.5004,0.4804,0.4944,0.4808,0.4848,0.5152,0.4872,0.5076,0.4712,0.5068,0.4828,0.5096,0.4840,0.4868,0.4972,0.4900,0.4896,0.4960,0.4872,0.4980,0.4896,0.5084,0.5112,0.4668,0.4744,0.5000,0.4828,0.4736,0.4716,0.4784,0.4868,0.4900,0.4700,0.4856,0.5088,0.4868,0.5092,0.4828,0.4908,0.4872,0.4896,0.4752,0.4964,0.4784,,0.4668,0.5152,0.4890,0.0102
1,0.0192,0.0208,0.0400,0.0248,0.0276,0.0288,0.0300,0.0164,0.0228,0.0164,0.0252,0.0240,0.0224,0.0268,0.0184,0.0312,0.0388,0.0268,0.0144,0.0196,0.0196,0.0396,0.0296,0.0240,0.0184,0.0084,0.0324,0.0304,0.0180,0.0228,0.0320,0.0168,0.0208,0.0176,0.0216,0.0248,0.0144,0.0296,0.0120,0.0416,0.0252,0.0180,0.0248,0.0332,0.0188,0.0300,0.0300,0.0248,0.0248,0.0304,0.0244,0.0216,0.0296,0.0224,0.0300,0.0228,0.0244,0.0160,0.0284,0.0240,0.0244,0.0200,0.0240,0.0204,0.0140,0.0284,0.0148,0.0208,0.0268,0.0256,0.0216,0.0320,0.0324,0.0216,0.0272,0.0224,0.0288,0.0244,0.0324,0.0228,0.0224,0.0088,0.0364,0.0168,0.0312,0.0284,0.0160,0.0264,0.0300,0.0176,0.0208,0.0224,0.0284,0.0160,0.0244,0.0268,0.0224,0.0212,0.0196,0.0152,,0.0084,0.0416,0.0241,0.0065
2,0.0104,0.0160,0.0512,0.0208,0.0256,0.0264,0.0312,0.0116,0.0324,0.0144,0.0232,0.0204,0.0236,0.0340,0.0068,0.0212,0.0380,0.0312,0.0048,0.0212,0.0072,0.0364,0.0348,0.0160,0.0124,0.0064,0.0244,0.0240,0.0008,0.0200,0.0444,0.0120,0.0232,0.0040,0.0224,0.0096,0.0048,0.0304,0.0144,0.0628,0.0140,0.0104,0.0088,0.0268,0.0292,0.0208,0.0248,0.0288,0.0288,0.0308,0.0168,0.0064,0.0316,0.0136,0.0236,0.0256,0.0216,0.0000,0.0292,0.0168,0.0280,0.0160,0.0256,0.0120,0.0272,0.0268,0.0064,0.0140,0.0192,0.0220,0.0164,0.0332,0.0452,0.0112,0.0344,0.0284,0.0416,0.0128,0.0276,0.0100,0.0204,0.0000,0.0472,0.0048,0.0232,0.0256,0.0124,0.0360,0.0260,0.0240,0.0108,0.0284,0.0172,0.0096,0.0292,0.0344,0.0232,0.0220,0.0068,0.0064,,0.0000,0.0628,0.0215,0.0117
3,0.0224,0.0336,0.1048,0.0456,0.0472,0.0484,0.0632,0.0260,0.0632,0.0280,0.0324,0.0368,0.0396,0.0584,0.0116,0.0372,0.0580,0.0552,0.0048,0.0444,0.0032,0.0564,0.0596,0.0316,0.0260,0.0144,0.0492,0.0544,0.0000,0.0424,0.0856,0.0184,0.0460,0.0060,0.0344,0.0172,0.0112,0.0640,0.0312,0.1176,0.0220,0.0192,0.0144,0.0424,0.0572,0.0284,0.0432,0.0472,0.0592,0.0592,0.0336,0.0084,0.0632,0.0216,0.0448,0.0464,0.0376,0.0000,0.0508,0.0300,0.0496,0.0312,0.0512,0.0176,0.0600,0.0492,0.0144,0.0276,0.0340,0.0456,0.0364,0.0448,0.0956,0.0192,0.0744,0.0492,0.0812,0.0180,0.0492,0.0096,0.0368,0.0000,0.0668,0.0048,0.0448,0.0488,0.0272,0.0760,0.0368,0.0516,0.0168,0.0588,0.0288,0.0152,0.0540,0.0704,0.0356,0.0440,0.0144,0.0144,,0.0000,0.1176,0.0396,0.0229
4,0.0408,0.0576,0.1768,0.0796,0.0784,0.0776,0.1080,0.0468,0.1060,0.0496,0.0460,0.0600,0.0636,0.1032,0.0196,0.0616,0.0812,0.0888,0.0048,0.0724,0.0012,0.0860,0.0948,0.0548,0.0468,0.0256,0.0836,0.0848,0.0000,0.0744,0.1432,0.0288,0.0748,0.0096,0.0620,0.0284,0.0208,0.1056,0.0544,0.1824,0.0404,0.0312,0.0256,0.0652,0.0980,0.0432,0.0744,0.0740,0.1024,0.0944,0.0568,0.0120,0.1080,0.0328,0.0656,0.0780,0.0600,0.0000,0.0792,0.0500,0.0832,0.0544,0.0872,0.0288,0.1056,0.0820,0.0256,0.0476,0.0600,0.0792,0.0660,0.0780,0.1532,0.0304,0.1288,0.0812,0.1268,0.0280,0.0816,0.0120,0.0584,0.0000,0.1028,0.0048,0.0720,0.0772,0.0488,0.1320,0.0576,0.0924,0.0280,0.0936,0.0492,0.0256,0.0884,0.1160,0.0568,0.0772,0.0256,0.0256,,0.0000,0.1824,0.0655,0.0375
5,0.0632,0.0880,0.2544,0.1180,0.1140,0.1140,0.1640,0.0740,0.1620,0.0776,0.0672,0.0896,0.0940,0.1448,0.0308,0.0880,0.1136,0.1272,0.0048,0.1068,0.0000,0.1356,0.1272,0.0796,0.0740,0.0400,0.1256,0.1376,0.0000,0.1160,0.2172,0.0424,0.0960,0.0104,0.0840,0.0412,0.0336,0.1672,0.0840,0.2496,0.0660,0.0464,0.0400,0.0932,0.1424,0.0596,0.1160,0.1052,0.1568,0.1432,0.0824,0.0128,0.1648,0.0472,0.1016,0.1200,0.0888,0.0000,0.1196,0.0764,0.1264,0.0840,0.1328,0.0440,0.1640,0.1236,0.0400,0.0740,0.0812,0.1216,0.1052,0.1056,0.2156,0.0448,0.1920,0.1212,0.1936,0.0424,0.1248,0.0128,0.0844,0.0000,0.1448,0.0048,0.1060,0.1164,0.0768,0.2020,0.0872,0.1452,0.0424,0.1412,0.0764,0.0400,0.1320,0.1736,0.0864,0.1172,0.0400,0.0400,,0.0000,0.2544,0.0975,0.0554
6,0.0928,0.1168,0.3340,0.1628,0.1616,0.1572,0.2320,0.1068,0.2308,0.1080,0.0888,0.1256,0.1308,0.1916,0.0452,0.1208,0.1632,0.1800,0.0048,0.1508,0.0000,0.1756,0.1712,0.1112,0.1068,0.0576,0.1768,0.1840,0.0000,0.1656,0.2780,0.0584,0.1308,0.0160,0.1220,0.0576,0.0496,0.2232,0.1200,0.3428,0.0972,0.0648,0.0576,0.1276,0.1984,0.0824,0.1656,0.1436,0.2172,0.1828,0.1144,0.0184,0.2324,0.0648,0.1280,0.1572,0.1224,0.0000,0.1652,0.1068,0.1704,0.1200,0.1880,0.0624,0.2352,0.1712,0.0576,0.1068,0.1252,0.1616,0.1532,0.1604,0.2896,0.0624,0.2628,0.1552,0.2404,0.0600,0.1776,0.0184,0.1084,0.0000,0.2008,0.0048,0.1452,0.1620,0.1112,0.2832,0.1232,0.2092,0.0600,0.1972,0.1092,0.0576,0.1840,0.2408,0.1224,0.1644,0.0576,0.0576,,0.0000,0.3428,0.1348,0.0747
7,0.1296,0.1560,0.4184,0.2172,0.2184,0.2020,0.3008,0.1460,0.3116,0.1448,0.1148,0.1680,0.1740,0.2448,0.0620,0.1648,0.2168,0.2416,0.0048,0.1932,0.0000,0.2228,0.2048,0.1516,0.1460,0.0784,0.2280,0.2592,0.0000,0.2248,0.3480,0.0776,0.1732,0.0276,0.1604,0.0776,0.0688,0.2868,0.1624,0.4208,0.1348,0.0864,0.0784,0.1632,0.2356,0.1168,0.2128,0.1848,0.2784,0.2520,0.1408,0.0300,0.2952,0.0856,0.1656,0.2012,0.1624,0.0000,0.2144,0.1436,0.2284,0.1624,0.2528,0.0840,0.3152,0.2256,0.0784,0.1452,0.1552,0.2048,0.2056,0.2004,0.3492,0.0832,0.3396,0.2008,0.3200,0.0808,0.2400,0.0300,0.1484,0.0000,0.2600,0.0048,0.1760,0.2092,0.1520,0.3444,0.1656,0.2868,0.0808,0.2640,0.1484,0.0784,0.2368,0.3208,0.1612,0.2112,0.0784,0.0784,,0.0000,0.4208,0.1764,0.0944
8,0.1728,0.1872,0.5096,0.2700,0.2820,0.2600,0.3840,0.1916,0.4044,0.1760,0.1408,0.2112,0.2236,0.3068,0.0820,0.2124,0.2860,0.3112,0.0048,0.2500,0.0000,0.2896,0.2468,0.2008,0.1916,0.1024,0.2896,0.3208,0.0000,0.2784,0.4144,0.1000,0.2116,0.0408,0.2104,0.1008,0.0912,0.3436,0.2112,0.5196,0.1788,0.1112,0.1024,0.2068,0.2864,0.1552,0.2664,0.2340,0.3504,0.2940,0.1792,0.0432,0.3784,0.1096,0.2132,0.2600,0.2080,0.0000,0.2688,0.1884,0.2824,0.2112,0.3272,0.1088,0.3816,0.2884,0.1024,0.1900,0.2052,0.2456,0.2544,0.2672,0.4176,0.1072,0.4252,0.2516,0.3864,0.1048,0.3072,0.0432,0.1668,0.0000,0.3316,0.0048,0.2148,0.2680,0.1992,0.4276,0.2144,0.3764,0.1048,0.3236,0.1796,0.1024,0.2940,0.3944,0.2028,0.2672,0.1024,0.1024,,0.0000,0.5196,0.2225,0.1159
9,0.2224,0.2360,0.5932,0.3372,0.3404,0.3152,0.4396,0.2436,0.4848,0.2208,0.1772,0.2696,0.2796,0.3544,0.1052,0.2740,0.3356,0.3776,0.0048,0.3052,0.0000,0.3472,0.2976,0.2584,0.2436,0.1296,0.3468,0.4040,0.0000,0.3496,0.4984,0.1256,0.2496,0.0568,0.2612,0.1272,0.1168,0.4036,0.2664,0.5796,0.2200,0.1392,0.1296,0.2592,0.3352,0.1904,0.3196,0.2884,0.3908,0.3540,0.2160,0.0592,0.4604,0.1368,0.2636,0.3152,0.2504,0.0000,0.3148,0.2276,0.3572,0.2664,0.4112,0.1368,0.4520,0.3432,0.1296,0.2412,0.2368,0.3000,0.3096,0.3132,0.4824,0.1344,0.5020,0.2980,0.4480,0.1320,0.3872,0.0592,0.2132,0.0000,0.3916,0.0048,0.2576,0.3324,0.2528,0.5036,0.2696,0.4660,0.1320,0.3784,0.2276,0.1296,0.3540,0.4520,0.2484,0.3152,0.1296,0.1296,,0.0000,0.5932,0.2698,0.1346
