round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.2604,0.2488,0.2428,0.2540,0.2572,0.2548,0.2452,0.2428,0.2588,0.2564,0.2444,0.2376,0.2440,0.2632,0.2584,0.2608,0.2588,0.2572,0.2292,0.2488,0.2464,0.2432,0.2460,0.2504,0.2524,0.2624,0.2492,0.2604,0.2528,0.2556,0.2572,0.2368,0.2564,0.2520,0.2548,0.2508,0.2480,0.2596,0.2324,0.2440,0.2536,0.2588,0.2312,0.2360,0.2572,0.2512,0.2572,0.2364,0.2488,0.2504,0.2564,0.2560,0.2556,0.2596,0.2416,0.2456,0.2452,0.2612,0.2484,0.2460,0.2560,0.2436,0.2532,0.2472,0.2352,0.2492,0.2392,0.2556,0.2456,0.2404,0.2500,0.2580,0.2516,0.2480,0.2432,0.2516,0.2564,0.2476,0.2584,0.2668,0.2604,0.2576,0.2460,0.2448,0.2480,0.2332,0.2436,0.2604,0.2472,0.2620,0.2668,0.2368,0.2360,0.2440,0.2388,0.2452,0.2412,0.2508,0.2492,0.2452,,0.2292,0.2668,0.2498,0.0084
1,0.0792,0.0444,0.0892,0.0724,0.0800,0.0600,0.0628,0.0560,0.0716,0.0696,0.0660,0.0880,0.0676,0.0620,0.0940,0.1056,0.0912,0.0628,0.0820,0.0848,0.0740,0.0732,0.0844,0.0660,0.0500,0.0524,0.0544,0.0716,0.0728,0.0600,0.0792,0.0344,0.0504,0.0696,0.1000,0.0828,0.0544,0.0604,0.0540,0.0736,0.0728,0.0488,0.0776,0.0340,0.0872,0.0588,0.0796,0.0732,0.0748,0.0580,0.0676,0.0824,0.0776,0.0584,0.0744,0.0544,0.0804,0.0568,0.0692,0.0796,0.0712,0.0596,0.0688,0.0632,0.0612,0.0580,0.0484,0.0636,0.0440,0.0656,0.0516,0.0748,0.0656,0.0636,0.0704,0.0644,0.0688,0.0632,0.0788,0.0756,0.0756,0.1020,0.0496,0.0568,0.0796,0.0788,0.0472,0.0660,0.0656,0.0756,0.0824,0.0716,0.0700,0.0544,0.0412,0.0428,0.0688,0.0760,0.0680,0.0588,,0.0340,0.1056,0.0678,0.0139
2,0.1372,0.0908,0.1652,0.1392,0.1192,0.1048,0.1208,0.1388,0.1200,0.1212,0.1336,0.1624,0.1224,0.1208,0.1672,0.1736,0.1336,0.1360,0.1584,0.1436,0.1468,0.1416,0.1860,0.1332,0.1044,0.1064,0.0836,0.0960,0.1552,0.1052,0.1044,0.0740,0.0788,0.1404,0.1680,0.1372,0.1136,0.0956,0.1064,0.1444,0.1344,0.0712,0.1536,0.0708,0.1640,0.1096,0.1376,0.1464,0.1396,0.1180,0.1156,0.1508,0.1260,0.0944,0.1540,0.0892,0.1556,0.1060,0.1176,0.1468,0.1228,0.1312,0.1264,0.1460,0.1448,0.1128,0.0944,0.0804,0.0884,0.1252,0.0956,0.1344,0.0940,0.1164,0.1464,0.1440,0.1224,0.1204,0.1364,0.1288,0.1180,0.1472,0.1064,0.1072,0.1512,0.1728,0.0968,0.1116,0.1320,0.1336,0.1288,0.1348,0.1488,0.1104,0.0748,0.0900,0.1488,0.1572,0.1440,0.1552,,0.0708,0.1860,0.1261,0.0257
3,0.2628,0.1980,0.3056,0.2988,0.2236,0.2220,0.2568,0.2864,0.2300,0.2368,0.2784,0.3272,0.2316,0.2556,0.3264,0.3312,0.2580,0.2884,0.3216,0.2840,0.2836,0.2784,0.3432,0.2696,0.2216,0.2412,0.1856,0.1924,0.2988,0.2164,0.1932,0.1804,0.1688,0.2936,0.3120,0.2652,0.2296,0.1932,0.2284,0.2756,0.2500,0.1580,0.3240,0.1644,0.3332,0.2292,0.2692,0.3088,0.2840,0.2692,0.2296,0.2728,0.2332,0.2044,0.3096,0.1920,0.2928,0.2004,0.2324,0.2880,0.2356,0.2608,0.2300,0.2992,0.2972,0.2304,0.1920,0.1600,0.1796,0.2568,0.2140,0.2736,0.1796,0.2364,0.3092,0.3008,0.2156,0.2496,0.2832,0.2520,0.2228,0.2592,0.2348,0.2100,0.3084,0.3400,0.2116,0.2328,0.2732,0.2620,0.2624,0.2812,0.3016,0.2120,0.1628,0.1900,0.3008,0.3292,0.2908,0.3316,,0.1580,0.3432,0.2541,0.0475
4,0.4132,0.3392,0.4364,0.5048,0.3524,0.3808,0.4280,0.4580,0.3520,0.3836,0.4548,0.5156,0.3740,0.4128,0.5132,0.5072,0.4036,0.4732,0.5060,0.4512,0.4448,0.4512,0.4960,0.4280,0.3696,0.4168,0.3328,0.3312,0.4492,0.3596,0.3136,0.3280,0.2784,0.4848,0.4712,0.4292,0.3640,0.3312,0.3832,0.4356,0.3976,0.2804,0.5104,0.2980,0.5376,0.3960,0.4412,0.4916,0.4336,0.4708,0.3720,0.4476,0.3736,0.3460,0.5064,0.3280,0.4404,0.3268,0.3672,0.4556,0.3588,0.4240,0.3440,0.4772,0.4664,0.3732,0.3020,0.2796,0.3048,0.4240,0.3760,0.4432,0.2904,0.4004,0.5072,0.4900,0.3268,0.4080,0.4560,0.4036,0.3744,0.3872,0.3968,0.3484,0.5000,0.5268,0.3672,0.3912,0.4432,0.4044,0.4424,0.4584,0.4696,0.3248,0.2896,0.3292,0.4656,0.5404,0.4572,0.5300,,0.2784,0.5404,0.4108,0.0682
5,0.5536,0.4812,0.5388,0.6836,0.4728,0.5312,0.5784,0.5972,0.4496,0.5328,0.6224,0.6560,0.5168,0.5580,0.6580,0.6452,0.5320,0.6272,0.6468,0.5844,0.5860,0.6072,0.5948,0.5688,0.5016,0.5856,0.4840,0.4616,0.5860,0.5148,0.4260,0.4848,0.3948,0.6492,0.5860,0.5592,0.4860,0.4760,0.5376,0.5768,0.5408,0.4116,0.6752,0.4564,0.6880,0.5684,0.6048,0.6364,0.5512,0.6564,0.5024,0.5844,0.4956,0.4884,0.6696,0.4712,0.5660,0.4672,0.4908,0.6076,0.4716,0.5568,0.4396,0.6364,0.6088,0.5040,0.4156,0.3896,0.4188,0.5656,0.5368,0.5964,0.4164,0.5620,0.6780,0.6576,0.4412,0.5556,0.5932,0.5356,0.5312,0.5108,0.5588,0.4896,0.6820,0.6788,0.5304,0.5576,0.5888,0.5388,0.6080,0.6032,0.6164,0.4220,0.4180,0.4812,0.6076,0.7116,0.6248,0.6896,,0.3896,0.7116,0.5529,0.0790
6,0.6152,0.5944,0.5816,0.7740,0.5664,0.6332,0.6716,0.6988,0.5204,0.6612,0.7228,0.7280,0.6212,0.6572,0.7492,0.7108,0.6092,0.7400,0.7112,0.6600,0.6840,0.7224,0.6340,0.6364,0.5896,0.7084,0.6156,0.5772,0.6632,0.6460,0.5356,0.6240,0.5052,0.7668,0.6224,0.6348,0.5844,0.5792,0.6300,0.6856,0.6516,0.5120,0.7604,0.6004,0.7624,0.6652,0.7164,0.7204,0.6296,0.7516,0.6032,0.6404,0.5932,0.6032,0.7548,0.5844,0.6296,0.5904,0.5772,0.7028,0.5460,0.6512,0.5172,0.7388,0.7080,0.6096,0.5196,0.4616,0.5128,0.6424,0.6672,0.6924,0.5220,0.6660,0.7840,0.7700,0.5236,0.6756,0.6452,0.6288,0.6600,0.5944,0.6856,0.6292,0.7772,0.7408,0.6680,0.6632,0.6792,0.6336,0.6880,0.6568,0.7164,0.4948,0.5532,0.6160,0.6988,0.7920,0.7048,0.7816,,0.4616,0.7920,0.6484,0.0758
7,0.6272,0.6832,0.5740,0.7684,0.6072,0.6980,0.6956,0.7476,0.5724,0.7376,0.7724,0.7312,0.6988,0.6956,0.7764,0.6988,0.6208,0.8076,0.7156,0.6728,0.7192,0.7696,0.6336,0.6328,0.6248,0.7652,0.7052,0.6696,0.7012,0.7188,0.6104,0.7364,0.5960,0.8144,0.5840,0.6468,0.6412,0.6336,0.6616,0.7316,0.6720,0.5664,0.7596,0.7156,0.7824,0.6940,0.7484,0.7504,0.6696,0.7692,0.6452,0.5940,0.6324,0.6668,0.7476,0.6584,0.6400,0.6720,0.6236,0.7192,0.5712,0.7124,0.5652,0.7964,0.7384,0.6628,0.6112,0.4988,0.5892,0.6624,0.7516,0.7172,0.6148,0.7144,0.7968,0.8172,0.5772,0.7396,0.6364,0.6692,0.7080,0.6040,0.7684,0.7052,0.7944,0.7524,0.7556,0.7056,0.7244,0.6504,0.7048,0.6420,0.7600,0.5224,0.6724,0.7024,0.7476,0.8088,0.7112,0.8236,,0.4988,0.8236,0.6893,0.0710
8,0.5872,0.7320,0.5236,0.6992,0.5752,0.7236,0.6684,0.7388,0.5936,0.7504,0.7824,0.6800,0.7284,0.6508,0.7408,0.6416,0.5736,0.8252,0.6620,0.6272,0.6748,0.7504,0.5844,0.5768,0.6232,0.7624,0.7388,0.7228,0.6976,0.7536,0.6256,0.8068,0.6464,0.7952,0.5032,0.6212,0.6612,0.6580,0.6540,0.7232,0.6136,0.5996,0.7076,0.7840,0.7652,0.6636,0.7252,0.7168,0.6640,0.7424,0.6204,0.5044,0.6204,0.6920,0.6944,0.6904,0.6008,0.7028,0.6276,0.6880,0.5620,0.7312,0.5860,0.7980,0.7232,0.6580,0.6840,0.5056,0.6332,0.6184,0.7944,0.6972,0.6684,0.7204,0.7604,0.8088,0.5648,0.7284,0.5900,0.6652,0.6820,0.5572,0.8020,0.7132,0.7580,0.7108,0.7856,0.6980,0.7216,0.6128,0.6600,0.5832,0.7572,0.5244,0.7616,0.7456,0.7472,0.7744,0.6672,0.8184,,0.5032,0.8252,0.6808,0.0780
9,0.5180,0.7444,0.4468,0.6016,0.4956,0.7096,0.6056,0.6924,0.6076,0.7080,0.7744,0.5996,0.7232,0.5780,0.6692,0.5776,0.4756,0.7936,0.5780,0.5336,0.5876,0.6868,0.5108,0.5028,0.6116,0.7116,0.7132,0.7248,0.6608,0.7488,0.5988,0.8332,0.6556,0.7352,0.4192,0.5664,0.6428,0.6572,0.5880,0.6804,0.5140,0.6096,0.6332,0.8212,0.7180,0.6164,0.6828,0.6496,0.6308,0.6896,0.5632,0.4144,0.5756,0.6916,0.6200,0.6660,0.5168,0.6776,0.5828,0.6164,0.5160,0.6992,0.5628,0.7444,0.6628,0.6156,0.7408,0.4812,0.6568,0.5324,0.7960,0.6468,0.6928,0.7024,0.6928,0.7536,0.5284,0.6748,0.5328,0.6000,0.5980,0.4768,0.7820,0.6704,0.6892,0.6472,0.7644,0.6672,0.7012,0.5336,0.5980,0.5148,0.7228,0.5004,0.8044,0.7560,0.7280,0.6988,0.5992,0.7964,,0.4144,0.8332,0.6384,0.0947
