round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,,min,max,average,stdev
12,0.3028,0.3276,0.3200,0.2404,0.3184,0.3232,0.3388,0.3344,0.3548,0.3252,0.3920,0.3636,0.3436,0.3464,0.2488,0.4484,0.3696,0.3472,0.3624,0.2864,0.3324,0.3056,0.3488,0.3628,0.3164,0.2616,0.3544,0.3588,0.3056,0.2696,0.3808,0.3304,0.3560,0.3680,0.3828,0.4076,0.3744,0.3752,0.3716,0.3684,0.3476,0.3192,0.3352,0.2860,0.3408,0.3716,0.2312,0.3816,0.3048,0.3524,,0.2312,0.4484,0.3379,0.0425
13,0.3340,0.2968,0.3164,0.2424,0.2988,0.3112,0.3852,0.3616,0.3424,0.3552,0.4220,0.3828,0.3560,0.3216,0.2672,0.4172,0.4080,0.3192,0.3692,0.2664,0.3244,0.3152,0.3200,0.4144,0.3408,0.3096,0.3364,0.3164,0.3392,0.2852,0.3720,0.3416,0.3628,0.3560,0.3940,0.3988,0.3628,0.3932,0.3408,0.3024,0.3356,0.3388,0.3552,0.2988,0.3092,0.3576,0.2568,0.3892,0.3080,0.3964,,0.2424,0.4220,0.3409,0.0428
14,0.3640,0.2636,0.3020,0.2800,0.2900,0.3104,0.4212,0.3876,0.3296,0.3828,0.4060,0.3816,0.3600,0.2916,0.3064,0.3620,0.4372,0.3148,0.3580,0.2612,0.3148,0.3240,0.2960,0.4576,0.3668,0.3668,0.3208,0.2868,0.3648,0.3320,0.3412,0.3512,0.3456,0.3396,0.3852,0.3748,0.3468,0.3908,0.3172,0.2492,0.3200,0.3672,0.3844,0.3356,0.2776,0.3308,0.3036,0.3572,0.3232,0.3976,,0.2492,0.4576,0.3416,0.0456
15,0.3716,0.2584,0.2880,0.3328,0.3056,0.3204,0.4112,0.3896,0.3428,0.3788,0.3664,0.3408,0.3652,0.2788,0.3404,0.3084,0.4516,0.3020,0.3400,0.2812,0.3116,0.3492,0.3116,0.4772,0.3968,0.4192,0.3144,0.2752,0.3780,0.3728,0.3260,0.3392,0.3364,0.3264,0.3536,0.3512,0.3276,0.3796,0.2948,0.2528,0.3060,0.3804,0.4048,0.3896,0.2916,0.2980,0.3348,0.3176,0.3388,0.3768,,0.2528,0.4772,0.3421,0.0472
16,0.3704,0.2900,0.2868,0.3920,0.3344,0.3516,0.3732,0.3832,0.3544,0.3592,0.3032,0.3028,0.3632,0.2752,0.3428,0.2740,0.4308,0.2744,0.3268,0.3204,0.3068,0.3588,0.3304,0.4788,0.3968,0.4204,0.3288,0.2856,0.3768,0.3912,0.3276,0.3252,0.3156,0.3328,0.3132,0.3412,0.3176,0.3660,0.2932,0.2916,0.3080,0.3524,0.3712,0.4216,0.3188,0.2908,0.3440,0.2708,0.3340,0.3432,,0.2708,0.4788,0.3392,0.0450
17,0.3460,0.3296,0.3152,0.4284,0.3440,0.3760,0.3184,0.3736,0.3544,0.3388,0.2712,0.2800,0.3244,0.3076,0.3356,0.2812,0.4076,0.2476,0.2972,0.3488,0.3272,0.3620,0.3324,0.4352,0.3620,0.3736,0.3372,0.3220,0.3472,0.4028,0.3508,0.3208,0.3224,0.3512,0.2840,0.3456,0.3208,0.3204,0.3168,0.3420,0.3156,0.3240,0.3272,0.4156,0.3328,0.3100,0.3480,0.2596,0.3396,0.3088,,0.2476,0.4352,0.3357,0.0392
18,0.3220,0.3640,0.3316,0.4320,0.3316,0.3904,0.2868,0.3408,0.3320,0.3052,0.2452,0.2812,0.2780,0.3600,0.3288,0.3052,0.3592,0.2440,0.2792,0.3604,0.3576,0.3436,0.3320,0.3724,0.3156,0.3040,0.3324,0.3636,0.3196,0.3944,0.3760,0.3248,0.3312,0.3728,0.2548,0.3416,0.3144,0.2892,0.3540,0.3840,0.3356,0.3148,0.2960,0.3676,0.3320,0.3420,0.3500,0.2860,0.3372,0.2856,,0.2440,0.4320,0.3300,0.0391
19,0.3024,0.3740,0.3388,0.4012,0.3304,0.3724,0.2756,0.3084,0.3096,0.2756,0.2680,0.2848,0.2660,0.3852,0.3384,0.3368,0.3372,0.2648,0.2808,0.3536,0.3768,0.3196,0.3344,0.3100,0.2776,0.2496,0.3356,0.3932,0.3084,0.3324,0.3800,0.3204,0.3368,0.3800,0.2432,0.3260,0.3184,0.2844,0.3980,0.4004,0.3436,0.3324,0.3064,0.3040,0.3348,0.3744,0.3308,0.3288,0.3256,0.2884,,0.2432,0.4012,0.3260,0.0409
20,0.3036,0.3708,0.3396,0.3508,0.3408,0.3448,0.2880,0.2832,0.3000,0.2664,0.3004,0.3036,0.2884,0.3976,0.3316,0.3652,0.3392,0.2988,0.3252,0.3576,0.3496,0.3040,0.3460,0.2616,0.2728,0.2308,0.3324,0.3800,0.3084,0.2672,0.3688,0.3132,0.3460,0.3768,0.2628,0.3208,0.3148,0.3180,0.3892,0.3800,0.3536,0.3368,0.3208,0.2704,0.3500,0.3776,0.2852,0.3652,0.3012,0.3092,,0.2308,0.3976,0.3242,0.0389
21,0.3152,0.3592,0.3496,0.2896,0.3416,0.3212,0.3244,0.2984,0.2964,0.2896,0.3480,0.3376,0.3208,0.3856,0.3096,0.3804,0.3512,0.3284,0.3764,0.3496,0.3068,0.3096,0.3356,0.2532,0.2868,0.2456,0.3356,0.3528,0.3168,0.2380,0.3468,0.3116,0.3464,0.3424,0.3020,0.3188,0.3132,0.3436,0.3652,0.3328,0.3468,0.3352,0.3336,0.2716,0.3380,0.3664,0.2472,0.3828,0.2860,0.3400,,0.2380,0.3856,0.3245,0.0352
