round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,,min,max,average,stdev
0,0.2984,0.2876,0.3172,0.3032,0.3076,0.2940,0.2932,0.3100,0.2852,0.2964,0.3044,0.2864,0.3016,0.3000,0.2996,0.2916,0.3040,0.2960,0.3068,0.2856,0.3044,0.2988,0.3104,0.2996,0.2996,0.2904,0.2988,0.3116,0.2860,0.2936,0.3092,0.2876,0.2988,0.3004,0.2984,0.3020,0.3132,0.2996,0.3104,0.2884,0.2964,0.3056,0.2948,0.3060,0.2800,0.2992,0.2948,0.3092,0.2756,0.2964,,0.2756,0.3172,0.2986,0.0089
1,0.2032,0.2144,0.2164,0.1648,0.1524,0.1972,0.2536,0.2188,0.1580,0.1676,0.2156,0.1936,0.2376,0.2208,0.1832,0.1852,0.2188,0.1908,0.2000,0.2040,0.2132,0.1900,0.1564,0.1832,0.1892,0.1972,0.1768,0.1812,0.1544,0.2144,0.2060,0.1580,0.2568,0.2496,0.2096,0.2040,0.2364,0.2264,0.1912,0.1688,0.1820,0.2004,0.1872,0.1952,0.1748,0.1984,0.1736,0.1684,0.1680,0.1892,,0.1524,0.2568,0.1959,0.0258
2,0.2944,0.3268,0.2556,0.2520,0.2020,0.2532,0.3076,0.2552,0.2440,0.2080,0.2692,0.2688,0.3056,0.2860,0.2340,0.2576,0.2396,0.2652,0.2528,0.2768,0.2572,0.2364,0.2156,0.2612,0.2464,0.2896,0.2192,0.1976,0.2360,0.2308,0.2044,0.2704,0.3132,0.3044,0.2328,0.2460,0.2376,0.2976,0.2384,0.2324,0.2256,0.2176,0.2552,0.2984,0.2532,0.2388,0.2408,0.2064,0.2700,0.2680,,0.1976,0.3268,0.2539,0.0313
3,0.4232,0.4636,0.3496,0.4436,0.3308,0.3604,0.3856,0.3804,0.4072,0.3240,0.3452,0.3724,0.4224,0.4048,0.3536,0.3912,0.3292,0.3888,0.3720,0.4116,0.3516,0.3400,0.3640,0.3720,0.3708,0.4356,0.3260,0.2852,0.3648,0.3440,0.2908,0.4124,0.4016,0.4060,0.3288,0.3512,0.3052,0.4180,0.3376,0.3712,0.3232,0.2852,0.3932,0.4280,0.3824,0.3396,0.3920,0.3196,0.4568,0.3792,,0.2852,0.4636,0.3707,0.0434
4,0.5300,0.5736,0.4568,0.6052,0.4556,0.4696,0.4592,0.4940,0.5612,0.4616,0.4204,0.4560,0.4952,0.5168,0.4700,0.5228,0.4292,0.5184,0.4772,0.5420,0.4332,0.4632,0.5304,0.4792,0.4864,0.5460,0.4380,0.3880,0.4748,0.4532,0.3968,0.5352,0.4524,0.4812,0.4392,0.4316,0.3828,0.4960,0.4300,0.4876,0.4300,0.3704,0.5168,0.5076,0.4904,0.4396,0.5496,0.4420,0.6032,0.4632,,0.3704,0.6052,0.4791,0.0532
5,0.5580,0.6052,0.5068,0.6792,0.5336,0.5124,0.4972,0.5300,0.6572,0.5728,0.4700,0.5052,0.5068,0.5808,0.5312,0.6032,0.4628,0.5968,0.5232,0.5792,0.4832,0.5540,0.6408,0.5484,0.5564,0.5708,0.5240,0.4820,0.5460,0.5232,0.4928,0.5916,0.4648,0.5028,0.5292,0.4576,0.4480,0.5296,0.4600,0.5452,0.5216,0.4424,0.5644,0.5244,0.5376,0.5128,0.6296,0.5432,0.6476,0.5004,,0.4424,0.6792,0.5377,0.0556
6,0.5180,0.5404,0.4784,0.6572,0.5396,0.4700,0.4696,0.4740,0.6632,0.6244,0.4768,0.5072,0.4584,0.5428,0.5296,0.6156,0.4400,0.6088,0.5212,0.5304,0.4780,0.5904,0.6292,0.5300,0.5516,0.5072,0.5608,0.5280,0.5304,0.5448,0.5468,0.5592,0.4492,0.4796,0.5720,0.4404,0.4480,0.5088,0.4424,0.5600,0.5536,0.4784,0.5052,0.4812,0.5240,0.4940,0.6164,0.5772,0.5800,0.4680,,0.4400,0.6632,0.5280,0.0579
7,0.4256,0.4184,0.4068,0.5604,0.4920,0.3904,0.4060,0.3832,0.5768,0.6228,0.4524,0.4656,0.3788,0.4340,0.4912,0.5628,0.3888,0.5348,0.4724,0.4540,0.4360,0.5648,0.5464,0.4532,0.4996,0.3772,0.5268,0.4944,0.4216,0.4980,0.5084,0.4460,0.3756,0.4172,0.5296,0.3924,0.4048,0.4544,0.3824,0.5176,0.5344,0.4744,0.3896,0.3968,0.4524,0.4224,0.5424,0.5332,0.4576,0.3896,,0.3756,0.6228,0.4631,0.0643
8,0.3056,0.3156,0.3300,0.4280,0.4152,0.3044,0.3316,0.3088,0.4576,0.5660,0.4016,0.4084,0.2924,0.3220,0.4100,0.4688,0.3372,0.4068,0.3892,0.3656,0.3840,0.4796,0.4176,0.3660,0.4296,0.2552,0.4408,0.4148,0.2760,0.4000,0.3976,0.3268,0.3052,0.3384,0.4484,0.3144,0.3520,0.3808,0.3052,0.4480,0.4512,0.4400,0.2664,0.3024,0.3740,0.3420,0.4468,0.4188,0.3184,0.2876,,0.2552,0.5660,0.3739,0.0662
9,0.2048,0.2496,0.2544,0.3004,0.3224,0.2512,0.2612,0.2708,0.3396,0.5008,0.3504,0.3344,0.2200,0.2408,0.3348,0.3516,0.2840,0.2948,0.2964,0.2776,0.3108,0.3736,0.2832,0.2824,0.3484,0.1768,0.3340,0.3504,0.1732,0.3192,0.2668,0.2360,0.2504,0.2696,0.3556,0.2556,0.3104,0.3000,0.2284,0.3796,0.3412,0.3928,0.1888,0.2372,0.3080,0.2692,0.3532,0.3020,0.2152,0.2100,,0.1732,0.5008,0.2912,0.0623
10,0.1592,0.2192,0.2108,0.2060,0.2524,0.2348,0.2368,0.2684,0.2548,0.4348,0.3140,0.2904,0.1940,0.1960,0.2896,0.2392,0.2612,0.2216,0.2476,0.2344,0.2764,0.2776,0.1848,0.2264,0.2912,0.1472,0.2540,0.3056,0.1184,0.2652,0.1844,0.1972,0.2328,0.2428,0.2980,0.2380,0.2860,0.2472,0.2076,0.3228,0.2372,0.3568,0.1640,0.2272,0.2660,0.2352,0.2756,0.2088,0.1648,0.1928,,0.1184,0.4348,0.2419,0.0552
