,Random,EGreedy 0.0,EGreedy 0.1,Egreedy 0.2,Softmax 1,Softmax 0.1
Q1,249.7,313.311,602.1085,601.7295,389.431,422.265
Q2,250.4045,362.8365,322.8135,280.9,321.4775,494.33
Q3,249.507,279.361,39.1605,57.258,177.6525,70.6265
Q4,250.3885,44.4915,35.9175,60.1125,111.439,12.7785
