Random,EGreedy 0.0,EGreedy 0.1,Egreedy 0.2,Softmax 1,Softmax 0.1,Arm 2 mean
0.2681925706,0.2637016506,0.2416251868,0.3034353312,0.2943493652,0.2768403245,1.1
0.4739734585,0.3296309021,0.2870649726,0.3749893325,0.3775601526,0.3427500611,1.1
0.649806434,0.3231560003,0.3415375611,0.4130193604,0.4662974695,0.35079218,1.1
0.7714760199,0.3444236919,0.3496943479,0.460270561,0.521453438,0.3556993516,1.1
0.8590846003,0.3480670435,0.3763915279,0.4859687071,0.5517393113,0.3582204658,1.1
0.9174256511,0.3416247512,0.3819521561,0.4963996934,0.5801965437,0.3585453637,1.1
0.957657435,0.3411314871,0.4038954475,0.5307343247,0.6178930323,0.3574501672,1.1
1.0088938643,0.3388393131,0.4229765699,0.5416989267,0.6434651952,0.3674879031,1.1
1.036166989,0.3405117836,0.4327097545,0.5529962155,0.6746955598,0.3678738523,1.1
1.048767968,0.3349762569,0.4378270979,0.5773725339,0.6932447502,0.3759243771,1.1
1.0703787579,0.3359767597,0.4524075068,0.5857646261,0.7121576428,0.3682171936,1.1
1.0791534822,0.340856744,0.4545975674,0.5917836719,0.7254791583,0.3679232862,1.1
1.0839618179,0.3384744067,0.4570088092,0.6029207207,0.7469649022,0.3708396867,1.1
1.0991430879,0.3378447075,0.4584062881,0.6203867164,0.7623216953,0.3721422263,1.1
1.1164935529,0.3350900546,0.471397996,0.6362763418,0.7747254052,0.3775021475,1.1
1.1230114499,0.3353632714,0.469390774,0.6416500337,0.7969987149,0.3842785946,1.1
1.1300696838,0.3362921498,0.4761665465,0.6473025935,0.7997621412,0.3840819248,1.1
1.1254285478,0.3433926389,0.4804651802,0.6558769739,0.8147658482,0.3866909898,1.1
1.1266464292,0.3396685472,0.4848532558,0.6647454906,0.8272218368,0.385156045,1.1
1.1243525797,0.3403509689,0.4923855678,0.6753374852,0.8375784558,0.3855971497,1.1
1.1290214006,0.3379748707,0.5018599822,0.683737817,0.8427049063,0.3865454474,1.1
1.1254354227,0.338709156,0.5137642301,0.6919480383,0.8524125118,0.3870064471,1.1
1.1217613329,0.3398804577,0.5220603976,0.7039776461,0.8529544225,0.3946454539,1.1
1.1159937679,0.3410857582,0.532616059,0.711669546,0.8590431438,0.3987627922,1.1
1.1165736885,0.3405978634,0.537733334,0.7144909332,0.8653376702,0.40081084,1.1
1.1159409728,0.3397183904,0.5452236125,0.7154464175,0.8735997443,0.3992904445,1.1
1.113075552,0.3386433914,0.5510497043,0.7218750874,0.8775099605,0.4001639,1.1
1.1097012459,0.3381770151,0.5566633196,0.7274917982,0.8830405012,0.4009976614,1.1
1.1097989915,0.3378548391,0.5616466142,0.7350882445,0.8900669395,0.4026687728,1.1
1.1124683291,0.3378751964,0.56282061,0.7433635933,0.8922111309,0.4057900197,1.1
1.1120013429,0.3377668316,0.568351898,0.7489511572,0.895933523,0.4040722186,1.1
1.1117504277,0.3381715191,0.5772409083,0.7531952675,0.9040545054,0.4015845462,1.1
1.11020966,0.3381836397,0.5821433895,0.7585970293,0.9137034472,0.4026069581,1.1
1.107150604,0.3384610135,0.5868885827,0.7647402718,0.9187479781,0.4066128795,1.1
1.1038321025,0.3384755949,0.5942271035,0.7725339124,0.925025274,0.4075567623,1.1
1.1036783858,0.3388418892,0.5987122207,0.7801678459,0.9277977214,0.4070207377,1.1
1.1060928345,0.3394000387,0.5991357908,0.7860953707,0.9300801145,0.4072417206,1.1
1.1054001124,0.339674625,0.6029416075,0.7952467605,0.9354305566,0.4075916369,1.1
1.1048761703,0.3402094518,0.6148710652,0.7970992797,0.9409782111,0.4061233099,1.1
1.1068479413,0.3416395306,0.6224888581,0.8001393543,0.9446336546,0.4067675092,1.1
1.105916414,0.3411525134,0.6188952719,0.8048213772,0.9478343235,0.4063207659,1.1
1.1047989205,0.3417629148,0.6248867779,0.8085230129,0.9503158833,0.407364513,1.1
1.1036178107,0.3418940433,0.6318730991,0.8132603456,0.9552727867,0.4089378651,1.1
1.1020569282,0.3405323383,0.6408669165,0.8214463922,0.9593358234,0.4088742148,1.1
1.1043350048,0.3416570371,0.6489741452,0.8255956314,0.9623166049,0.4090481777,1.1
1.1057260619,0.3419903769,0.6495529319,0.8311000638,0.9618321525,0.411182302,1.1
1.1062192656,0.3411997147,0.655045177,0.8314615767,0.9642085324,0.4124423329,1.1
1.1055544107,0.3402955289,0.6563389567,0.8333076657,0.9677221336,0.412547412,1.1
1.1056093829,0.3413579682,0.6662629058,0.8369621694,0.9737233941,0.4144362806,1.1
1.1058329631,0.3412735486,0.6688253193,0.8439391872,0.9745827162,0.4136171908,1.1
1.1049969796,0.3414953785,0.673282345,0.8491290956,0.9739251525,0.4136022124,1.1
1.10330573,0.342419895,0.6774443727,0.8536671493,0.975587745,0.4139289211,1.1
1.102136395,0.3422528741,0.6821592351,0.853976234,0.9769349252,0.4151506066,1.1
1.1014782881,0.341658009,0.6907742849,0.8548481016,0.9807847791,0.414354177,1.1
1.1017950718,0.3411193584,0.6908708159,0.8634481504,0.9833131999,0.4131655882,1.1
1.1002911843,0.3410801166,0.6944712003,0.8670817395,0.9852456073,0.4136352317,1.1
1.0992661721,0.3414631014,0.6977330521,0.8676747228,0.9885174952,0.4134152939,1.1
1.0988144738,0.3412108467,0.7062808943,0.8717857825,0.988713041,0.4150957398,1.1
1.0994791735,0.340940073,0.7071724087,0.8747938747,0.9924391091,0.4145057807,1.1
1.0996754013,0.3409409789,0.7085349859,0.8782392265,0.9935949253,0.4167517302,1.1
1.0981142323,0.3406540521,0.7119469481,0.8807723438,0.9953667543,0.4186495121,1.1
1.0968052339,0.3408257337,0.7152104513,0.8816229846,0.9972315064,0.4181241178,1.1
1.0971509192,0.3406483696,0.7167350873,0.8847444347,1.0000022142,0.4178269196,1.1
1.0977155446,0.3401088323,0.7199741784,0.8865100745,1.002425762,0.4171646715,1.1
1.099610764,0.3404044438,0.7261476374,0.891111471,1.0061501826,0.4159420444,1.1
1.0994264342,0.3407033439,0.7303577758,0.8922378573,1.0079304139,0.4164103167,1.1
1.0995202353,0.3410035626,0.7363997903,0.8944145881,1.0087037609,0.4162933566,1.1
1.0985537568,0.3406623218,0.7413145301,0.9016620219,1.0107369463,0.416861157,1.1
1.0986102413,0.3404408404,0.7423342203,0.9029205841,1.0117331524,0.4163976648,1.1
1.0984756737,0.3411450605,0.7415251874,0.9047313529,1.0127636942,0.4183806469,1.1
1.098594522,0.3404770013,0.7460651794,0.9035968432,1.0133441017,0.4176817077,1.1
1.0990476566,0.3404677857,0.7508577003,0.9073794256,1.0149336576,0.4188386273,1.1
1.0987967954,0.3408155275,0.7547483804,0.9098946727,1.0160263017,0.4221392878,1.1
