Random,EGreedy 0.0,EGreedy 0.1,Egreedy 0.2,Softmax 1,Softmax 0.1,Arm 3 mean
0.1409127265,0.1162123747,0.1112354265,0.127596158,0.1195815823,0.1273476723,0.5
0.236127904,0.1185186434,0.1272687033,0.1435789273,0.1708297628,0.1256744974,0.5
0.3080063216,0.1129263314,0.1265648352,0.1567791673,0.2028255844,0.1166490363,0.5
0.3459585349,0.1056128121,0.1290871628,0.1662975963,0.2252299854,0.1139606423,0.5
0.3944077451,0.0991623951,0.1335841677,0.1698585139,0.2513534354,0.1057627838,0.5
0.4312276789,0.0957569267,0.1302454166,0.1795233829,0.2614309351,0.0980110025,0.5
0.4565500765,0.091129436,0.1310656696,0.1820818706,0.2748825504,0.0944591249,0.5
0.4674445072,0.0912116863,0.1363889747,0.1974167224,0.2942813584,0.0903410214,0.5
0.4842376722,0.0880585135,0.1379323084,0.1980092429,0.3018515577,0.087371806,0.5
0.4806281196,0.087146757,0.1434759913,0.200684037,0.3047935708,0.0877897813,0.5
0.4888006044,0.0846792783,0.1446739564,0.2080270352,0.3080556789,0.0849252143,0.5
0.4986020521,0.0864530376,0.1534010562,0.2132835808,0.3165241754,0.0843829658,0.5
0.4938576211,0.0859941614,0.1565406343,0.2150000682,0.3304896205,0.0820677817,0.5
0.4903435278,0.0854628276,0.1561434982,0.2281196167,0.3282847068,0.0801085563,0.5
0.4897327656,0.0844970493,0.1620907942,0.2327551313,0.3357795748,0.0783170041,0.5
0.4951342473,0.0825379746,0.1631393345,0.2381225377,0.341412338,0.0787658454,0.5
0.5000466064,0.081874919,0.1683283853,0.2483429053,0.3467760019,0.0768117871,0.5
0.499837052,0.0805284424,0.1689561891,0.2539473901,0.342603452,0.0769832697,0.5
0.5019999662,0.080388646,0.1749031048,0.2547423347,0.3499965903,0.0756774991,0.5
0.4969528146,0.0800428418,0.1783772124,0.2651075446,0.3550438517,0.0748903502,0.5
0.4957430554,0.0786356399,0.1806497345,0.2786466398,0.3606113279,0.0746402614,0.5
0.491580535,0.0766637352,0.1853664844,0.2823911705,0.362594204,0.0729602413,0.5
0.4923608183,0.0758212345,0.1867961263,0.2866949702,0.3632737473,0.0721074382,0.5
0.4938638208,0.0749386429,0.192933586,0.2942776682,0.3675373598,0.072550961,0.5
0.4938004672,0.074380854,0.1947109596,0.2963083548,0.3720040155,0.0726457692,0.5
0.4962999298,0.0741659265,0.1963837956,0.2980486283,0.3738356045,0.0713288624,0.5
0.4960825172,0.0739384328,0.2011963573,0.3023949099,0.3743729411,0.069795844,0.5
0.4935240677,0.0736522468,0.206201948,0.3078834342,0.3791158676,0.0698466356,0.5
0.4923818291,0.0742013558,0.2072267188,0.3115020082,0.3796083489,0.0693158391,0.5
0.4924101211,0.0741354254,0.2117918647,0.3137183351,0.3770175648,0.0687450636,0.5
0.4916706606,0.0734273531,0.2139829384,0.3163046286,0.3818368067,0.0687845485,0.5
0.4902088413,0.0730447051,0.2195643608,0.322545276,0.3859663472,0.068235786,0.5
0.4911189076,0.072534118,0.2223405168,0.3270191874,0.3893478508,0.068175929,0.5
0.492006192,0.0727895534,0.2248827768,0.3304621108,0.3924664194,0.0681527832,0.5
0.4913433019,0.0722388044,0.2248462776,0.3370858125,0.3943696544,0.0677355517,0.5
0.4909928333,0.071918931,0.2287707365,0.3387440123,0.3939625507,0.0669729346,0.5
0.4892530988,0.0713960767,0.2272526808,0.3438709517,0.3985106656,0.0669177692,0.5
0.4889097497,0.0714674294,0.23313412,0.3506377861,0.4003698968,0.0664103751,0.5
0.4897178339,0.0711052425,0.2346978225,0.3505092569,0.400700482,0.0663049236,0.5
0.4895472686,0.0709288408,0.2362446604,0.3549055596,0.4033142973,0.0677438576,0.5
0.4904742408,0.0701836737,0.2363231266,0.3600538964,0.4052085134,0.0670084818,0.5
0.4913186693,0.0701326285,0.2369864583,0.3618029352,0.4072294514,0.0665134809,0.5
0.4911764734,0.0699552303,0.2417223556,0.3687645336,0.4097475953,0.0660632578,0.5
0.4909346868,0.069520289,0.2456989959,0.3717766093,0.4126569077,0.066230865,0.5
0.4927978883,0.0699438868,0.2488875128,0.3729748561,0.4121587634,0.0660707442,0.5
0.493206514,0.0707378675,0.2510390363,0.3735943753,0.4123323209,0.0666669998,0.5
0.4942738068,0.0705165266,0.2555457378,0.3737065117,0.415363879,0.0660287563,0.5
0.4936801954,0.0704195124,0.2602598893,0.376089981,0.4192325949,0.0657836134,0.5
0.4932470917,0.0700926468,0.261643628,0.3755715341,0.4207933428,0.065282254,0.5
0.4930583301,0.0698112475,0.2640046792,0.3793964223,0.4234023131,0.0648931893,0.5
0.4939562169,0.0695623473,0.2702005466,0.3813060697,0.4243211584,0.0649998097,0.5
0.4942428543,0.0698309384,0.2723565573,0.3824612595,0.4250105026,0.0648187176,0.5
0.4949367387,0.0698465538,0.2787413451,0.3859439113,0.4240099662,0.0649093543,0.5
0.4941261824,0.0695157073,0.2838470242,0.3871757514,0.4258381731,0.0650950382,0.5
0.4942897615,0.0690736122,0.2865818136,0.3903649961,0.4256235233,0.0645937429,0.5
0.4939485095,0.0688915248,0.293976244,0.3921784712,0.4264936046,0.0643106748,0.5
0.4943686009,0.069469726,0.2953752003,0.3947776553,0.4278335549,0.0642767176,0.5
0.49401516,0.0692647502,0.2988882247,0.3973176586,0.4282057833,0.0651831914,0.5
0.4952708505,0.0688813966,0.302438971,0.3990429415,0.4290993877,0.0653029291,0.5
0.4953386857,0.0686929462,0.3020520625,0.4014591005,0.4295174612,0.0655972956,0.5
0.4961597489,0.068447061,0.3041307706,0.4018269385,0.4310027421,0.065345351,0.5
0.4948958861,0.0684043532,0.3062366919,0.4031409589,0.4316084523,0.0661575469,0.5
0.4941664817,0.0686702515,0.3094467373,0.406003374,0.4329305393,0.0652632467,0.5
0.4929442484,0.0683554799,0.3106949375,0.4061881658,0.4327806901,0.0651936666,0.5
0.4939183598,0.0684316093,0.3126583937,0.4084792578,0.4320439436,0.0651464546,0.5
0.4934070859,0.0682512849,0.3125142899,0.4084424399,0.432192749,0.064993279,0.5
0.491935704,0.0680919142,0.313664365,0.4098256237,0.4330642552,0.065143471,0.5
0.4923168519,0.0686720142,0.3148068882,0.4118807373,0.4338476592,0.0648986904,0.5
0.4928482809,0.068408152,0.3185667388,0.4130615124,0.4351822995,0.0653502726,0.5
0.4931431498,0.0684932794,0.3192210003,0.416374953,0.4352745164,0.0647172785,0.5
0.493954896,0.0692177275,0.3224681763,0.4192102997,0.4372791694,0.0643812027,0.5
0.4944739269,0.0692052374,0.3236387776,0.4226939462,0.4374090035,0.0641973397,0.5
0.4948396241,0.0686643127,0.3261902998,0.4253296797,0.4404864194,0.06446817,0.5
0.4954796292,0.0689221649,0.3263503003,0.4264247431,0.4434074589,0.0645000048,0.5
0.4961463698,0.0689274247,0.3290066616,0.4270479991,0.4440557801,0.0644444934,0.5
0.4975850921,0.0687145603,0.3314009653,0.4283701547,0.4452895102,0.064226253,0.5
0.4983867571,0.0687089194,0.3327951206,0.4318057057,0.447435694,0.0642038429,0.5
0.4984150702,0.0684351272,0.3371097171,0.4348231196,0.4485168362,0.0641919682,0.5
0.4983336511,0.0682602238,0.3375121735,0.4350612796,0.4496673367,0.0641435107,0.5
0.4990102527,0.0680412765,0.3372597265,0.4370313141,0.4506770784,0.0640911151,0.5
0.499797357,0.067928273,0.3393823707,0.4373627572,0.4510974489,0.0638154321,0.5
0.4996289659,0.0678105873,0.3405766245,0.4383369537,0.451093102,0.0638207085,0.5
0.4999989564,0.0678809282,0.3424379715,0.4380683897,0.4521718413,0.0638067303,0.5
0.4995646946,0.0680788601,0.3443081965,0.4390268265,0.4528820151,0.0639464677,0.5
0.4993560085,0.0680621716,0.3462791513,0.4420059963,0.4536086767,0.0639106095,0.5
0.4997896107,0.0679305636,0.3456110638,0.4428675905,0.4540390563,0.0638430971,0.5
0.5000909113,0.0679508144,0.3471024725,0.443070693,0.4541261546,0.0638965129,0.5
0.4996045836,0.0681742962,0.3509057743,0.4430781663,0.4545195155,0.0637874565,0.5
0.4998679543,0.0682027944,0.3523279621,0.4443440258,0.4555260391,0.0637215339,0.5
0.4998363616,0.0682683896,0.3550681294,0.4449143921,0.4565270768,0.0635381152,0.5
0.4998377825,0.0683686174,0.3545297051,0.4463816309,0.458539247,0.063667648,0.5
0.5001712795,0.0685472208,0.3565373097,0.4476385145,0.4599743766,0.0635981377,0.5
0.499721251,0.0683521185,0.3593369107,0.4493796193,0.461373415,0.0643331471,0.5
0.5001294131,0.0682728817,0.3592287972,0.4486064621,0.4611460119,0.0640225346,0.5
0.4999038189,0.068278493,0.360096341,0.4499145615,0.4614548807,0.0640608162,0.5
0.4999099764,0.0683088105,0.3602413009,0.4502777552,0.4610872645,0.06429681,0.5
0.5005182185,0.0683629648,0.3609176538,0.451420348,0.4623199899,0.0645986443,0.5
0.5002843353,0.0683386761,0.363636664,0.4515498998,0.462352485,0.0640360769,0.5
0.499624782,0.0683695389,0.3649838993,0.4515183256,0.4628527409,0.0642360233,0.5
0.4993988419,0.0682694781,0.3657261675,0.4511742902,0.4636752674,0.0640484598,0.5
0.4996489131,0.0683041768,0.3685887786,0.4522764697,0.4645314677,0.0641106077,0.5
0.4995661148,0.0682646986,0.3677393311,0.4521819427,0.4654533866,0.0639001009,0.5
0.49960714,0.0682487984,0.3688438839,0.4522737079,0.4659263369,0.0640915119,0.5
0.4997230825,0.0682541444,0.369622749,0.4520482031,0.466126907,0.0639406186,0.5
0.5002609522,0.0682668441,0.3696650048,0.4519634453,0.4670517592,0.0640815991,0.5
0.4999458669,0.0682732841,0.3705012386,0.4526436329,0.4668006582,0.064114774,0.5
0.4999320025,0.0683999163,0.3708139226,0.453206345,0.4665689204,0.0640278857,0.5
0.4999717324,0.068447536,0.3724814108,0.4543540054,0.4665707805,0.0641159234,0.5
0.4999259343,0.0681558029,0.3728515812,0.4543508523,0.467277528,0.0638388839,0.5
0.4995304983,0.0682610532,0.374410014,0.4543562901,0.4676440836,0.0638047306,0.5
0.4992421532,0.0680467569,0.3758695467,0.4550407189,0.4685091425,0.0636472084,0.5
0.4986111675,0.0679583115,0.3755767634,0.4560225204,0.4685698105,0.0635982547,0.5
0.4984698049,0.0679336582,0.3757183962,0.4578455958,0.4686137179,0.0635989073,0.5
0.4981639811,0.068304886,0.3766281499,0.4579858859,0.468950455,0.0635417114,0.5
0.4972069147,0.068063732,0.3790739125,0.45921184,0.4688101575,0.063567676,0.5
0.4972174321,0.0680274938,0.3797473287,0.4595122791,0.4684377396,0.0634287501,0.5
0.4974089492,0.0680988073,0.3795259678,0.4589903766,0.4682554461,0.0633632352,0.5
0.4971761968,0.0681627988,0.3796725442,0.4587845642,0.4692258191,0.0633921761,0.5
0.4969150051,0.0683527682,0.3807230072,0.4598544477,0.4701737073,0.0636345534,0.5
0.4971793592,0.0682796651,0.3819526666,0.460145902,0.4706783352,0.0641346696,0.5
0.4971253248,0.0681377882,0.3838017645,0.460254118,0.4709934649,0.0638000965,0.5
0.4969415476,0.0689395635,0.3842815085,0.4605593884,0.4719635433,0.0637821328,0.5
0.4963006519,0.068513759,0.3850949899,0.4614164473,0.4717512924,0.0635986141,0.5
0.4966363181,0.0683980041,0.3859834227,0.461287701,0.4716435991,0.0635359777,0.5
0.4969493144,0.0682370405,0.3866156153,0.4628790043,0.4723287963,0.0634918534,0.5
0.4971987748,0.0682585418,0.3873840839,0.4634081746,0.471881884,0.0638344346,0.5
0.4973527067,0.0684136272,0.3883491073,0.4640584491,0.4723431497,0.0637948471,0.5
0.4974448245,0.0685037927,0.3889273323,0.4642415341,0.4729293804,0.0635966984,0.5
0.4973593834,0.068432595,0.3894170474,0.4652146657,0.4723981452,0.0635325048,0.5
0.4973585547,0.0684284165,0.3910154666,0.4657941158,0.4724606026,0.0636183208,0.5
0.497091357,0.0685300672,0.3910894032,0.4672398268,0.4722251548,0.0635092762,0.5
0.4965617119,0.0684610624,0.3905399654,0.4667519221,0.4717296163,0.0633940525,0.5
0.4967092237,0.0685292106,0.3913526774,0.4667263433,0.4720820591,0.0633565565,0.5
0.4965470591,0.0690538611,0.3928444824,0.4667281548,0.472821424,0.0633104733,0.5
0.4965475507,0.0691478297,0.3928006722,0.4662974248,0.4726902974,0.0632082848,0.5
0.4968731376,0.0690052909,0.3939083827,0.467574876,0.4729739118,0.063166961,0.5
0.4961323571,0.0688499239,0.3936660717,0.4681051506,0.4727517396,0.063107263,0.5
0.4961446671,0.0687004964,0.3950905516,0.4681041419,0.473845226,0.0631324511,0.5
0.4962118475,0.0685597244,0.3956868711,0.4686415322,0.4744012678,0.0632464626,0.5
0.4966164424,0.068691786,0.3980968155,0.4688299301,0.4742304114,0.0633006422,0.5
0.496289357,0.0686688708,0.3992159538,0.4692014765,0.474561861,0.0632557957,0.5
0.4963601687,0.0686809569,0.3991586437,0.469475014,0.4749951716,0.0633201032,0.5
0.4959280271,0.0687240249,0.398338282,0.469835946,0.4754489764,0.0632325291,0.5
0.4955587544,0.0687453703,0.3992695323,0.4701281436,0.4754869016,0.0632599223,0.5
0.4955432782,0.0686853239,0.3998860473,0.4703089731,0.4754391451,0.0634027269,0.5
0.4952534063,0.0685886731,0.4015201496,0.470591422,0.4754078898,0.063349016,0.5
0.4949995854,0.0684772858,0.4018271107,0.4696658898,0.4758166117,0.0634866369,0.5
0.4950078634,0.0684800939,0.4027510474,0.46937459,0.4755336106,0.0635796835,0.5
0.4952228646,0.0684339411,0.4033854269,0.4698700493,0.4752924672,0.0635209212,0.5
0.4949899406,0.068183492,0.4042405972,0.4699349916,0.4752431266,0.0634732649,0.5
0.49527368,0.0681360103,0.4040356021,0.4702782591,0.475670129,0.0634109913,0.5
0.4952733642,0.0679999312,0.404950559,0.4713655947,0.4754649303,0.0634193251,0.5
0.4954687447,0.0679837601,0.4065681965,0.4719465788,0.4755036776,0.0633856998,0.5
0.4950103732,0.068218496,0.4106306426,0.4718209901,0.4754279689,0.0633175052,0.5
0.4951956603,0.068150249,0.4124752348,0.4726448599,0.4755436323,0.0632544687,0.5
0.4955103858,0.0681914329,0.4136480771,0.4729703359,0.4757449975,0.0637207072,0.5
0.495537961,0.0684041213,0.4138800834,0.4730152816,0.4761649918,0.06349731,0.5
0.495664832,0.0683077616,0.41447722,0.4737695429,0.4765057144,0.0632226461,0.5
0.495943933,0.0684996903,0.4143704075,0.4737461336,0.4766124934,0.0631955277,0.5
0.4962425535,0.0685194173,0.4150363049,0.4745233445,0.4769431383,0.0630957778,0.5
0.496188384,0.0682726751,0.4156872946,0.4751279234,0.4770343694,0.0633398378,0.5
0.496050083,0.068179394,0.4165864741,0.4751930299,0.4768192883,0.0633577372,0.5
0.4961852057,0.0681509243,0.41702633,0.475445004,0.4770356067,0.0635559081,0.5
0.4960642781,0.0681392715,0.4180940126,0.4757106274,0.4770917357,0.0633214541,0.5
0.4961073839,0.068190835,0.4187555038,0.4753451994,0.4771016335,0.0632734336,0.5
0.4964253733,0.0681911635,0.4208558411,0.4758906413,0.4775608704,0.0635042042,0.5
0.4965986349,0.0682125098,0.4213091351,0.4756521458,0.4777280424,0.0635241992,0.5
0.4968446331,0.068153309,0.4219436174,0.4767774517,0.4777648577,0.0631678927,0.5
0.4968329047,0.0681972959,0.4221637008,0.477015962,0.4780030719,0.0631826302,0.5
0.496468786,0.0681675118,0.4217827526,0.4778727686,0.4782754812,0.0632253355,0.5
0.4962161797,0.0682614276,0.422114909,0.4785583701,0.4777720902,0.0632884539,0.5
0.4961795259,0.0682982841,0.4234481964,0.4790853788,0.4774208105,0.0631917982,0.5
0.4959602486,0.0683233678,0.4249524224,0.4787346044,0.4774333631,0.0633374449,0.5
0.4961147316,0.0682574733,0.4246228199,0.4794071482,0.4778251501,0.0633894252,0.5
0.4957609361,0.0683619272,0.4254076387,0.479174935,0.478218595,0.0633643953,0.5
0.4958793114,0.068283613,0.4250938154,0.4791579399,0.4780326613,0.0634853435,0.5
0.4956776252,0.0681864863,0.4256708316,0.4793671189,0.4780667071,0.0634859054,0.5
0.4959891957,0.0681692971,0.4263503528,0.4797996546,0.4787051692,0.063480884,0.5
0.4960741123,0.0680861291,0.4270107244,0.4806944848,0.4792046639,0.0634049263,0.5
0.4961095209,0.0681305344,0.4268329144,0.4810587135,0.4793546153,0.0636950509,0.5
0.4961079182,0.0681066106,0.4271042497,0.4818120013,0.4796684859,0.0638354554,0.5
0.4963101884,0.0681205808,0.4283707253,0.4815153126,0.4799581243,0.0637423938,0.5
0.4962718121,0.0682650029,0.4275272448,0.4813393125,0.4803486292,0.0636989314,0.5
0.4961432065,0.068216037,0.4276668659,0.4817321023,0.4796464157,0.0635569186,0.5
0.4959375443,0.0681557943,0.4289602164,0.4822840634,0.4794482721,0.0641473137,0.5
0.4958676195,0.0681395693,0.4295661492,0.4819076455,0.479568456,0.0640189344,0.5
0.4957514043,0.0680791464,0.4292286646,0.4824466671,0.4792565247,0.06404988,0.5
0.4958754988,0.068203651,0.4300201435,0.4826447796,0.4797954626,0.0639782516,0.5
0.4959417874,0.0681802982,0.4302936021,0.4830225425,0.4796850544,0.0640368818,0.5
0.4962560917,0.0681889371,0.4310745278,0.4831136769,0.479508979,0.0640294032,0.5
0.4960087068,0.068236092,0.4335266789,0.4833855653,0.4794747725,0.0640614302,0.5
0.4962710183,0.0683361793,0.4343990989,0.4826365304,0.4797660818,0.0639961712,0.5
0.496322473,0.0683197647,0.4353625906,0.4832791081,0.4795314169,0.0640197701,0.5
0.4961878906,0.0683005431,0.4355790859,0.4835855826,0.4799626382,0.0640042738,0.5
0.496546567,0.0682389747,0.4371237302,0.4829609051,0.4801744388,0.0639090772,0.5
0.496657094,0.0682411034,0.4371073707,0.4828116644,0.4798096861,0.0638288955,0.5
0.4967675645,0.0682698052,0.4368407265,0.4836721807,0.479798296,0.063827776,0.5
0.4968904376,0.0682174393,0.4376663279,0.4839076893,0.4794986959,0.0638553569,0.5
0.496733175,0.0681824431,0.4391786973,0.4837404953,0.4792743252,0.0638441605,0.5
0.4967715278,0.0682888514,0.4391001994,0.4839429952,0.479400462,0.0637396149,0.5
0.4967573799,0.0682765025,0.4387123621,0.4843249683,0.4796122348,0.063774542,0.5
0.4968103848,0.0682107045,0.4394352241,0.484070282,0.4793099471,0.0637795441,0.5
0.4971655266,0.0681297781,0.4397902223,0.4845419183,0.4795557408,0.0644152997,0.5
0.4974212955,0.0681902352,0.4402498845,0.4844154004,0.4797364368,0.0645374627,0.5
0.4973266435,0.0682515836,0.4401437362,0.4844453011,0.4798370824,0.0645668626,0.5
0.4975930846,0.0682760151,0.4405265421,0.48457455,0.479699522,0.0646050708,0.5
0.4977673097,0.0682317668,0.4404520583,0.4851901375,0.4799146987,0.0644610843,0.5
