Random,EGreedy 0.0,EGreedy 0.1,EGreedy 0.2,Softmax 1,Softmax 0.1
0.7997151385,0.9441276036,1.0072365875,1.0046259442,0.9548152626,1.0035925461
0.7999635091,0.944047938,1.0081269601,1.0060902758,0.9560380458,1.0046270052
0.8005146398,0.9438558872,1.0096959267,1.0078411154,0.9552694032,1.0051208935
0.8012928364,0.9439104475,1.0104252107,1.0083015868,0.9562180792,1.0058465988
0.8003293896,0.9441163143,1.0107524878,1.0082495447,0.9569773893,1.0059034172
0.8012541327,0.9437115262,1.0126368542,1.0096082841,0.9572643314,1.0069250887
0.8014564599,0.9446212612,1.012755342,1.0105468091,0.9577428243,1.007661275
0.8020931168,0.9455357852,1.0134887766,1.0113401503,0.9576219331,1.0082400557
0.8029503791,0.9462086676,1.0143260859,1.0116689165,0.9584211709,1.0083559776
0.8026277108,0.9455556416,1.0144191544,1.012171335,0.9586892976,1.0086624004
0.8025467919,0.9458554221,1.0155471833,1.0135424479,0.9588464938,1.0094394073
0.8022235164,0.9461424569,1.0157712868,1.0134855982,0.9595743607,1.0100889937
0.8028557224,0.9461937658,1.0171794905,1.0135825696,0.9590249707,1.010635497
0.8036899081,0.9470369169,1.0176304041,1.0144647793,0.959107888,1.0113496949
0.8040459246,0.9477747298,1.0187558599,1.0152178067,0.9600247429,1.0117587801
0.8039411107,0.9481583225,1.0206772254,1.0157119748,0.9600886499,1.0123233561
0.8034848116,0.9486669288,1.0214979644,1.0161292885,0.96180439,1.0126123343
0.8040538858,0.9480825385,1.0224999374,1.0168253399,0.9620907247,1.0125170293
0.8044598951,0.9480214181,1.0232084348,1.0182194459,0.9616820777,1.0124362324
0.8049833362,0.947983708,1.0238014928,1.01861283,0.9620189896,1.0130126811
0.8049887633,0.9485077702,1.0247740309,1.0200163262,0.9629250758,1.013495193
0.8051399646,0.9485119936,1.0255973974,1.0204270115,0.9641240909,1.0140936528
0.8052048551,0.948527033,1.026397933,1.0213051093,0.9641072686,1.0142182897
0.8046708633,0.948714634,1.0284852871,1.0219428514,0.9646162055,1.0148638355
0.8047154535,0.9487916804,1.0291790844,1.0226303438,0.9653111639,1.0149584825
0.8045749667,0.9487748218,1.0292242881,1.0235046225,0.9655542392,1.0153527603
0.8049861645,0.9486351671,1.0296013961,1.0248745012,0.9662114982,1.016111547
0.8041949203,0.9489784055,1.0300502952,1.0257286146,0.9667232277,1.0165785504
0.8046954892,0.9494397951,1.0308035194,1.0270926871,0.9672600446,1.0169998112
0.8044547739,0.9493553946,1.0317108775,1.0285592562,0.9677654709,1.0178628052
0.8048154677,0.9500311803,1.0327449791,1.0291069546,0.968493121,1.0177150517
0.8044455101,0.9501171693,1.0333231289,1.0296006122,0.9689368366,1.0179804816
0.8043819399,0.950026699,1.0341773795,1.0304607127,0.9692479086,1.0189452932
0.8040455012,0.9502390526,1.0346949467,1.0313400093,0.9694962739,1.0196157094
0.8035028163,0.950015656,1.0358515388,1.0317369727,0.9699774519,1.0204014501
0.8032380736,0.9503288346,1.0364190437,1.032559242,0.970333207,1.0204532103
0.803338803,0.9505429015,1.0369570084,1.0327054379,0.971026897,1.0200188532
0.8025068056,0.9507333502,1.0374938229,1.0336127779,0.9713059636,1.0201166646
0.8014743574,0.9504440728,1.0383636991,1.0347518111,0.9714044486,1.0209587174
0.8018534161,0.9503830641,1.0393243394,1.0356780205,0.97053744,1.0215850337
0.8017585514,0.950275851,1.0401698526,1.0363176368,0.9700938311,1.0224693436
0.8009913495,0.9504625654,1.0414456218,1.0368341737,0.9702158829,1.0231740479
0.8012832163,0.9504208051,1.0421364222,1.037337891,0.9704085503,1.0233715464
0.8010858933,0.9507997846,1.0426739057,1.0377223402,0.9706586871,1.0240011698
0.800872607,0.9506223384,1.0436080301,1.0384507305,0.9705977092,1.0239423845
0.8012132583,0.9506713402,1.0447833498,1.0388648872,0.9706889406,1.0242649506
0.8008663086,0.9507527156,1.0452250747,1.0396618232,0.9713551154,1.0245065143
0.8011739229,0.9506959046,1.0455099394,1.0397667074,0.9718016754,1.0250328564
0.8011021085,0.9502677581,1.0456626715,1.0404844621,0.9724194277,1.02529055
0.8009718538,0.9501622851,1.0460306851,1.0408133844,0.9726739501,1.0257218217
0.800139473,0.95023599,1.0461436489,1.0410029457,0.9724932177,1.0263885725
0.8004328209,0.9504981087,1.0470226091,1.0417201763,0.9726028802,1.0273615539
0.800594751,0.9499385284,1.0476979531,1.042354523,0.9724381382,1.0279190212
0.8004131384,0.9496905204,1.0482702218,1.0428130801,0.9726391806,1.0280884931
0.8005031595,0.9498142911,1.0492911303,1.0430368213,0.9719511793,1.0280588175
0.8006337064,0.9500668602,1.0501400372,1.0439484714,0.9718823238,1.0282380244
0.801092808,0.950251686,1.0505028871,1.0440740678,0.9717508589,1.0284138948
0.8012546525,0.9502758141,1.0510059517,1.0448880738,0.9721634019,1.0290766889
0.8007691317,0.9505966203,1.0515992661,1.0455596963,0.9725640522,1.029217042
0.8015621909,0.9511384621,1.0521214518,1.046308719,0.9728721132,1.0295211906
0.8017602672,0.9510453877,1.0524375912,1.0465499208,0.9729804229,1.0297553078
0.801818201,0.9512320483,1.053469984,1.0474768202,0.9733442907,1.0299445519
0.8016880655,0.9510817577,1.0533053242,1.048324486,0.9735476346,1.0307802074
0.801709897,0.9510923796,1.0533250239,1.0488092195,0.9734383119,1.0314540127
0.8016314408,0.9504703204,1.0542758332,1.0496443402,0.9731861598,1.0318268064
0.801997492,0.9507964704,1.0548331084,1.050480414,0.9734133606,1.0324398131
0.802827112,0.9508754667,1.0556229666,1.0508167953,0.973380967,1.0328748071
0.8025858699,0.9509339566,1.0560175207,1.051082984,0.9736241611,1.0330417254
0.8027473704,0.951190681,1.0566407208,1.0515632311,0.9734211042,1.0335004461
0.8028231441,0.9515022334,1.05737658,1.0524490676,0.9737828757,1.0338845356
0.8027977989,0.951288387,1.0581430729,1.0530198948,0.9741653,1.0342791279
0.8026648023,0.9513593359,1.0584773825,1.0532137416,0.974182743,1.034308734
0.8023149706,0.9511456132,1.0589325206,1.0538604126,0.9744137708,1.034498786
0.8021050306,0.9508919385,1.0594116004,1.0543685666,0.9744432601,1.0347279634
0.8025440244,0.9509092907,1.0598568463,1.0548084489,0.9746966973,1.0349832965
0.8023294264,0.9509294899,1.0603127605,1.0549200892,0.9747678935,1.035568031
0.8024201598,0.9507866819,1.0612606626,1.0551223206,0.9745581644,1.0359385884
0.8022917665,0.9509800499,1.0619673017,1.0551262029,0.9747545342,1.0364344754
0.8019236139,0.9506479354,1.062358386,1.0551870926,0.9747176813,1.0365207759
0.801419568,0.9505978975,1.062416828,1.0555930747,0.9748011145,1.0361902023
0.8013576273,0.9508479793,1.0632891209,1.056142948,0.9746046866,1.0365358284
0.8016293296,0.9506744396,1.0636922421,1.0564011318,0.974806847,1.0368645345
0.8015213974,0.9505258043,1.0640464242,1.0571695625,0.9745222306,1.0372826631
0.8012370422,0.9505555012,1.0648105914,1.0576150606,0.9740130108,1.037833003
0.8014649351,0.9506657263,1.0653725664,1.0582101028,0.9742713118,1.0380780669
0.8016943699,0.9504685155,1.0662166229,1.058465495,0.9741464272,1.0385332051
0.8014712118,0.9508400973,1.0667587005,1.0588967761,0.9740566577,1.0385795605
0.8006445999,0.9507133685,1.0670113243,1.0592034024,0.9740721336,1.0388361774
0.8003073784,0.9512622311,1.0674915429,1.0598504426,0.9745118068,1.0391567922
0.8010582614,0.9512956107,1.0683205362,1.0602501064,0.9749351006,1.039212174
0.8010272459,0.9514042637,1.069336672,1.0608748687,0.9751768642,1.0395653371
0.8010377031,0.9515008857,1.0697180214,1.0616376823,0.9752304855,1.0397674149
0.8010332987,0.9516141441,1.0704066967,1.0618791757,0.9752978595,1.0404661666
0.800922949,0.951817678,1.0710201549,1.0626647122,0.975410817,1.0410436869
0.8012105908,0.9516433415,1.0712310345,1.0628106899,0.9758671818,1.041517338
0.8008007011,0.9519233566,1.0717874899,1.0635141784,0.9755643658,1.0416401158
0.8001819081,0.9518959439,1.0721533015,1.0634158674,0.9754211878,1.0422579961
0.7997871954,0.9520125748,1.0729688217,1.063843851,0.9756419466,1.0425448635
0.7996656997,0.9519919228,1.0731248609,1.0643573449,0.975728868,1.0430690861
0.7998945668,0.9519361855,1.0736756564,1.0643649121,0.9761268442,1.0436485612
0.7998641504,0.9518773494,1.0740129709,1.0652543767,0.9764457865,1.0439706057
0.7993781641,0.9520893686,1.0744951757,1.0654117247,0.9760374942,1.0447628199
0.7996644702,0.9522810067,1.0751732708,1.0656468939,0.9762601161,1.0448296299
0.7997894883,0.952215106,1.0758950706,1.0663636291,0.9763211234,1.0449747475
0.7996107644,0.9523781108,1.0762979439,1.0667078547,0.9765184825,1.0453857445
0.7998109676,0.9523959704,1.0771826346,1.066723907,0.9766755083,1.0456682819
0.7996936772,0.952558419,1.0774183597,1.0670261445,0.9768006,1.0459166918
0.7994709884,0.9527593371,1.077686188,1.0674852937,0.9765271477,1.0463316911
0.7998157421,0.9526905551,1.0786477996,1.0677686348,0.9767050893,1.0468621907
0.7995504213,0.9526474278,1.0790012709,1.0680723441,0.9765647874,1.0472137834
0.7994613743,0.9524435167,1.0796310578,1.068717975,0.9763538035,1.0474374649
0.7990366955,0.9528377277,1.0798449132,1.0690088674,0.9764585663,1.0480220771
0.7988637661,0.9529333015,1.0800829823,1.0692273347,0.9762451109,1.0482193529
0.7990915635,0.9530540138,1.0806505309,1.0695953847,0.9759717912,1.0481503668
0.7989546179,0.9530251265,1.0810136016,1.0702203842,0.9759617948,1.0485659503
0.7989762314,0.9526650357,1.0813594404,1.0706723116,0.9760501473,1.0486638154
0.7993588998,0.9526837069,1.0818044247,1.0710262323,0.9757650884,1.0486857351
0.7991135398,0.9528570721,1.0821918209,1.0714267187,0.9757720302,1.0490665886
0.799280827,0.9526094242,1.0826959157,1.0717758187,0.9760557869,1.0491730479
0.7996480352,0.9528768111,1.08277927,1.0719460797,0.9761062762,1.0495028455
0.8001607616,0.952982988,1.0827432949,1.0722320396,0.9763719739,1.0499833201
0.8002475729,0.9527075127,1.0831301048,1.0724561631,0.9762997279,1.0502381914
0.8000275374,0.9527009295,1.0832839348,1.0726628785,0.976569521,1.0507718037
0.8003632372,0.9526176031,1.0832614265,1.0727008314,0.9767986871,1.0509955968
0.8006609607,0.9526053878,1.0834448625,1.0730495313,0.9770775995,1.0512480459
0.8008032681,0.9526859494,1.0838130781,1.0729229597,0.9769746761,1.0516164236
0.8006186194,0.9527200033,1.0840937213,1.0734597683,0.9772869914,1.0517829363
0.8003170601,0.9528647476,1.0845142036,1.0737468357,0.9776673808,1.0523205897
0.8001801881,0.9526434764,1.0848577925,1.0743112979,0.978258612,1.0529355292
0.7997364269,0.9526403476,1.085158306,1.07461368,0.9783211443,1.05306057
0.7996673933,0.9526407729,1.0854759138,1.0750892162,0.9784617176,1.0536114665
0.799651653,0.9527612328,1.0856874422,1.0754730768,0.9786759392,1.0540822878
0.7996482558,0.9527270546,1.086011166,1.0758940707,0.9785011969,1.0541107228
0.7997757485,0.9530064438,1.0864458498,1.0759809254,0.9789126599,1.0540175848
0.7999295298,0.9530590109,1.0869084166,1.0761712487,0.9787679062,1.0540658452
0.799816076,0.9530476264,1.0873507274,1.0763886748,0.9787738812,1.0543246165
0.8000669352,0.9529314378,1.0877631924,1.0764723292,0.9787199562,1.0546920993
0.7998723286,0.9530614929,1.0879265662,1.0764145915,0.9785511606,1.0548511173
0.8000223388,0.9530840608,1.0883275216,1.0763750567,0.9786340552,1.0551986306
0.7998599797,0.9529252658,1.0883725335,1.0765851674,0.9790484924,1.0552138646
0.7996342309,0.9529895192,1.0887579908,1.076828661,0.9791036709,1.0554036569
0.7995579264,0.9530633645,1.0887989592,1.0773555457,0.9788443678,1.0556006974
0.7995228509,0.9530761609,1.0893175596,1.07735452,0.9788641756,1.0558028754
0.7997683043,0.9531268949,1.0898751996,1.0775975783,0.979151076,1.0559032132
0.7996570679,0.9528480776,1.0904125458,1.0774868996,0.9793545714,1.0563235646
0.799501398,0.9531206249,1.0908541095,1.0778760124,0.9793986109,1.0565041902
0.7992005543,0.952924303,1.0910636758,1.0782256409,0.9794588407,1.0567989027
0.7991714342,0.9531426652,1.0914367936,1.0786417026,0.979715763,1.057399027
0.799189408,0.9535461532,1.0921083049,1.0788618459,0.9795037244,1.0576859554
0.799301245,0.9535513168,1.0920705406,1.0794497741,0.9794899347,1.057958132
0.799414756,0.9533692033,1.0922053515,1.0797628334,0.9793639861,1.0578787597
0.799488604,0.9533458744,1.0923969122,1.0800139663,0.979296841,1.0580759157
0.7996816293,0.9533424005,1.0926428864,1.0802229264,0.9794940637,1.0583756971
0.8003280622,0.953664908,1.092561037,1.080342852,0.979455719,1.0586711385
0.8003915362,0.9537252701,1.0929986849,1.0805716345,0.9793694823,1.0588273738
0.8003614711,0.9539768524,1.0933774232,1.0809626978,0.9790751706,1.0592662451
0.80046651,0.9540480294,1.0938584476,1.0811003871,0.9791974631,1.0595805494
0.8004551026,0.954246545,1.0940783187,1.0811572462,0.9789525122,1.0598391547
0.8001694625,0.9541571759,1.0946016472,1.0813163915,0.9792951484,1.0599701231
0.8002614716,0.9544062527,1.0946901702,1.0817107801,0.9793542766,1.0601547535
0.8003071819,0.9544465053,1.0950776115,1.0815695141,0.9791928168,1.0604214176
0.7998933738,0.954656846,1.0954571266,1.0818587114,0.979446015,1.0606846896
0.7998493247,0.954848061,1.0957651392,1.0819583446,0.9795968082,1.060918732
0.7996565208,0.9548121457,1.0964507475,1.0821691387,0.9794501876,1.0613455284
0.7997467158,0.9548274079,1.0968743,1.0820668784,0.9795518174,1.0617568601
0.799707179,0.9547432194,1.0973978577,1.0821815547,0.9795144001,1.0617348174
0.799460808,0.954555677,1.0977064243,1.0824319915,0.9796957442,1.0620162314
0.7993049913,0.9544592075,1.097802409,1.0828007867,0.979513262,1.0623257187
0.7992039976,0.9545922041,1.097954585,1.0828819776,0.9796065038,1.0624029774
0.7989994245,0.9546791238,1.0981425768,1.0830895198,0.979495573,1.0626158797
0.7989852485,0.9546376543,1.0982954497,1.0830572671,0.9792822001,1.0628094351
0.7988201708,0.9546494025,1.0983385897,1.0832981521,0.9792899383,1.0627870443
0.7987854977,0.9545463616,1.0986875117,1.0834221311,0.9795183292,1.0628711106
0.7987411548,0.9545593882,1.09899707,1.0836794751,0.9798815859,1.0631364593
0.7988677031,0.954398521,1.0991543461,1.0837953666,0.9802115229,1.0632395673
0.7988429309,0.9543657346,1.0994614188,1.0839528502,0.9801365008,1.0634192753
0.799294892,0.9544012451,1.0996288111,1.0843574194,0.9805336506,1.0636173766
0.7990148889,0.9545195702,1.099912382,1.0844595665,0.9807003663,1.0638841887
0.7987977336,0.9545677481,1.1003749777,1.0846864414,0.9808943699,1.0642568141
0.7989688532,0.9547230841,1.100645982,1.0846206115,0.9806959802,1.0644645289
0.7987269122,0.9545828854,1.1009964871,1.0844799618,0.9806450552,1.0646786379
0.7990658072,0.9544410118,1.1014470687,1.0845481673,0.9806340241,1.0650159732
0.7992354042,0.9545614443,1.1017521523,1.0845267528,0.9807376798,1.0652105727
0.7990644394,0.9545025827,1.1020122951,1.084350764,0.9806851685,1.0655097487
0.7991134101,0.9544785311,1.1021827155,1.0843608516,0.9807087357,1.0657613156
0.7989487074,0.9548380147,1.1023730142,1.084536865,0.9807746696,1.0660541849
0.7986253411,0.9548436348,1.1027830906,1.0847403022,0.9810386098,1.0662629399
0.798767156,0.954869801,1.1028953839,1.0849868484,0.9812263265,1.0662534313
0.7986692813,0.9549830636,1.1031632492,1.0849673324,0.9811772257,1.0666340479
0.7986853603,0.9550813557,1.1034038807,1.0850235228,0.9810852584,1.0666781301
0.7986770742,0.9551371081,1.1037261009,1.0851591435,0.9813510003,1.0669660586
0.7987989881,0.9551132777,1.103860932,1.0854570041,0.9813697601,1.0672260532
0.7989296501,0.9552050584,1.1042002832,1.0856820493,0.9815526426,1.0673947202
0.7989598938,0.9552785522,1.1046061985,1.0859540442,0.9815494706,1.0676630168
0.7990785977,0.9553205934,1.104686499,1.0860838505,0.9817272422,1.0677841447
0.7991258833,0.9554716143,1.1050256573,1.0861777717,0.9819223951,1.0678835175
0.7991036347,0.9556099299,1.1053571449,1.0862404149,0.9818127765,1.0681616063
0.7986822544,0.9555228045,1.1055241006,1.0865701709,0.9818949093,1.0682419469
0.7988109042,0.9555909242,1.1057961715,1.0868791915,0.9820953363,1.0683217795
0.7987750211,0.9554074227,1.105975877,1.0872874716,0.9822476236,1.068521403
0.7986799446,0.9554726772,1.106273224,1.087353751,0.9823812779,1.0687686727
0.7985939336,0.9555296077,1.1063328643,1.0873388153,0.9823130625,1.0690499419
0.798808774,0.9555713798,1.1067285339,1.0875316466,0.9821981766,1.0693642284
0.7991335171,0.955703621,1.1069243412,1.0876548076,0.9822261129,1.0694593654
0.7991357949,0.9557351536,1.1071179061,1.0876291478,0.9823163784,1.0696165514
0.7990283585,0.95562332,1.1074808529,1.0878122913,0.9823170831,1.0697650442
0.7990103376,0.9554869527,1.1076677675,1.0879982035,0.9824276017,1.0698327074
0.7985455785,0.9554498856,1.1081035469,1.0882102895,0.982505629,1.0700636029
0.7985135614,0.9554463956,1.1084594466,1.0883848504,0.9825795046,1.0702924625
0.7986430647,0.9555021523,1.1088198145,1.0886750612,0.9825715471,1.070393371
0.7987951631,0.9553763102,1.10887933,1.0890351753,0.9825203939,1.0705827284
0.7987351762,0.9556035086,1.1091649279,1.0890071113,0.982876736,1.0709464835
0.7983221133,0.9556561278,1.109202435,1.0893427641,0.982578378,1.0713346082
0.7984623313,0.9558063882,1.109404779,1.0893211302,0.9823660709,1.0713764924
0.7982703689,0.9558209694,1.1096529473,1.0896677625,0.9822502677,1.0713868027
0.7981216645,0.9556151368,1.1100208412,1.0900120175,0.9823357706,1.0715230384
0.7983697724,0.955559195,1.1103324642,1.0902023757,0.9824025643,1.0718754924
0.79867931,0.9556126911,1.11053616,1.0903019949,0.9823346337,1.0723025138
0.798983429,0.9556699507,1.1106521256,1.0906897542,0.9825496905,1.072433891
0.7986638052,0.955682268,1.1108299261,1.0909845011,0.9828144516,1.0727197143
0.7987324695,0.9556901371,1.1113379429,1.0911381852,0.9828448816,1.0728956407
0.7988453599,0.9556884543,1.1117770305,1.0914255338,0.9828724341,1.0731962524
0.7988192016,0.9557225742,1.1119782665,1.0913861585,0.9828080651,1.0736660426
0.7987714633,0.955744738,1.1123511584,1.0918405763,0.9829152757,1.0739446135
0.7985763065,0.9557447911,1.1125627521,1.0920609184,0.9828276894,1.0741098591
0.7985643458,0.9559528181,1.1127770806,1.092143162,0.9828976738,1.0741634576
0.798381561,0.9557433968,1.1131288012,1.0923050074,0.982764794,1.0743402032
0.7985287909,0.9556963004,1.1132336402,1.0925372135,0.9826040823,1.074656966
0.7985103907,0.9556377667,1.1135411472,1.0925127803,0.9825222046,1.0749821973
0.7984989487,0.9557111425,1.1136942945,1.0927123348,0.9826797919,1.0750716328
0.7981322555,0.9558695488,1.1139602333,1.0927971317,0.9826600307,1.0752126146
0.7979753325,0.9558025324,1.114162703,1.0930833539,0.9827437812,1.0753296163
0.798000181,0.9558888096,1.1144483014,1.0932848437,0.9827800699,1.0755607823
0.7979073761,0.9557786505,1.1146888028,1.0935377162,0.9829567218,1.0757365868
0.7978135526,0.9559074034,1.1150444058,1.0938408212,0.9830675023,1.0757874435
0.7977569996,0.9560152489,1.1150777785,1.0940544267,0.983098019,1.0759300548
0.7978830946,0.9562023422,1.1152810773,1.094247497,0.9830542629,1.0760473398
0.797822643,0.9560769208,1.1154160693,1.0943687541,0.9831745327,1.0762543599
0.7977744194,0.9560956944,1.1155622016,1.0944428918,0.9831792769,1.0764811946
0.797403121,0.9562120512,1.1156524996,1.0945831068,0.9829223829,1.0766204377
0.7972212671,0.956175922,1.1157384554,1.0947905952,0.9829750221,1.0769587635
0.7972889759,0.9561723695,1.1160962522,1.0949489974,0.9829321736,1.0772320035
0.7973298828,0.9561977406,1.1161672798,1.0953031232,0.9829591681,1.0771672512
0.7971097649,0.9563061787,1.1160869171,1.0955382828,0.9828743018,1.0775474303
0.7971393242,0.9560614387,1.11616984,1.0956581354,0.9830252372,1.0777298589
0.797092208,0.9559350052,1.1164321349,1.095805686,0.9829280018,1.0779019174
0.7970193615,0.9559514965,1.1165587862,1.0960961388,0.9829206058,1.0782464666
0.7971841411,0.9560800726,1.1168602554,1.0962741025,0.9829107121,1.0781613651
0.79704838,0.956160249,1.1170316676,1.0962698523,0.9829772053,1.0784711069
0.7971070006,0.9562245284,1.1174788851,1.0961835969,0.9828188877,1.0787225855
0.797122334,0.9561840702,1.1175253219,1.096354907,0.9829595607,1.0789512233
0.7971556865,0.9562996933,1.117618618,1.0967299613,0.9830342315,1.079099211
0.7970300207,0.9563961614,1.117821889,1.0970986974,0.9827920256,1.0792453279
0.7969816934,0.9563639772,1.1181113915,1.0971767114,0.9827097337,1.0794400949
0.7967922011,0.95640915,1.1184287966,1.0972146735,0.9827837764,1.0794784102
0.7969021037,0.9563170305,1.1187277471,1.0974359612,0.9829511157,1.0797607892
0.7971163774,0.9561672666,1.1188741517,1.0974721573,0.9829006615,1.0799776453
0.7972301102,0.9561875337,1.1189410803,1.0975881058,0.9827628178,1.0801117156
