eGreedy time,Softmax Time
0.7951464808,0.7812272684
0.8276672146,0.8015829054
0.8249931003,0.8086653802
0.831013563,0.8163544879
0.8458838629,0.8237551135
0.8560974471,0.8311672578
0.8656022353,0.8284443385
0.8765848695,0.8293195129
0.8885463545,0.8338049428
0.899337415,0.8356178115
0.9062704457,0.8363428765
0.9164027837,0.8372211152
0.9222446819,0.8426752197
0.9269115645,0.8410384252
0.9311404965,0.8397658588
0.9392788721,0.8381348059
0.9460549083,0.8381225777
0.9541467782,0.8405201232
0.9585210698,0.8429374137
0.9636190117,0.8436216754
0.9695981438,0.8423361182
0.9753796283,0.8427225257
0.9806408989,0.8432268748
0.983679594,0.8452423496
0.9884510919,0.8442721597
0.9921750169,0.8449500424
0.9968452898,0.8460112203
1.0014930907,0.8436847929
1.0043464203,0.8442180108
1.0069143824,0.8445131629
1.0101409773,0.8448931074
1.0129234335,0.8435275744
1.0160427664,0.8422566529
1.0191919554,0.8416133625
1.0214283395,0.843176845
1.0248332886,0.8425653471
1.0281225715,0.8427360515
1.0306669684,0.8427372182
1.032955576,0.8427151813
1.0361210324,0.8417688604
1.0397573604,0.8409697855
1.0420778732,0.8405551298
1.0446520244,0.8413429916
1.047515828,0.8404144832
1.0493202748,0.8410804021
1.0512821453,0.8402477729
1.0530232158,0.8400770109
1.0551264036,0.8406874339
1.0566091255,0.8407550428
1.0586012227,0.8405005283
1.0595375485,0.8411817037
1.0609607573,0.8407729974
1.0625053088,0.8398484553
1.0638839038,0.8394291784
1.0656174243,0.83973385
1.0675328556,0.8399138087
1.0686043049,0.8395132044
1.0704695886,0.8398522996
1.0722956744,0.8393138226
1.0744188483,0.8392360975
1.0755859256,0.8398416867
1.0773312589,0.8400108816
1.0783485319,0.8395693551
1.0801218069,0.8394745164
1.0810926987,0.8394528128
1.0823640297,0.8397969742
1.0839551725,0.8399192251
1.0855755183,0.8394518676
1.0865515213,0.8397932981
1.0879531144,0.8399545622
1.0891945055,0.8404849284
1.0904563459,0.8405556405
1.0918456029,0.8407414124
1.0931730942,0.84113256
1.0947106324,0.8409617531
1.0959581317,0.8404461794
1.0971669265,0.8403210682
1.0981435344,0.8400710225
1.0991913507,0.8402970391
1.0999304911,0.8404934004
1.100696459,0.8401578077
1.1017738823,0.8398235244
1.1028041433,0.8395074548
1.1038656955,0.8396124228
1.1047665357,0.8396471129
1.1055062775,0.8396440868
1.1062964193,0.8397839406
1.1071679443,0.8400622187
1.1080637747,0.8402176372
1.1093183069,0.8399340133
1.1103275752,0.8403139924
1.1111906824,0.8401615986
1.1120002934,0.8401173676
1.1128487785,0.8397935672
1.113661117,0.8396332073
1.1142819298,0.8393447049
1.1151050487,0.8393200786
1.1158114943,0.8390232935
1.1165743397,0.8388739193
1.1173948355,0.8389434929
1.1177277842,0.8393913961
1.1183762654,0.8395068606
1.119119784,0.8395650836
1.1194345656,0.8397693761
1.1202754311,0.8398969825
1.1210872303,0.8399951068
1.1218781314,0.8395712228
1.1228436685,0.8398527114
1.1233495496,0.8401386683
1.1239396865,0.8403798697
1.1245439044,0.8400010373
1.1250689353,0.8401069911
1.1257648571,0.8396480442
1.1265615763,0.8397177748
1.1271593909,0.8403459122
1.1278361512,0.840335078
1.1284366337,0.8407427815
1.1290292867,0.8406098331
1.1294623932,0.8407081077
1.129882932,0.8406449689
1.130258311,0.8408553731
1.1305759958,0.8409740666
1.1310178707,0.8408818294
1.1314226304,0.8405432771
1.1320442268,0.8407054251
1.1327504668,0.8406341262
1.1332448598,0.8404751329
1.1338677047,0.8402606708
1.1344338394,0.8401306257
1.1349936534,0.8401233253
1.1353953869,0.8399149718
1.1359867479,0.8402166466
1.1362019547,0.840193439
1.1366743553,0.8400223963
1.1371660757,0.839701601
1.1379584506,0.8398398979
1.1384761782,0.8396614991
1.1389605525,0.8398089582
1.1392499087,0.8400802854
1.139613197,0.8404441157
1.1400166433,0.8407018301
1.1404304837,0.8409556988
1.1407647027,0.8408514554
1.1415149054,0.8411979222
1.1421537257,0.8413740664
1.142631094,0.841332538
1.1430848752,0.8411494266
1.1435640987,0.8410409992
1.1437971385,0.8411458741
1.1443978932,0.8410838588
1.1449025311,0.84082622
1.1453309645,0.8407342384
1.1458916166,0.8405631629
1.1464753495,0.8403198248
1.1468641349,0.8404376346
1.1471128061,0.8407333432
1.1475835623,0.8411035242
1.1479416718,0.8408202486
1.1482314404,0.8407868237
1.1485229055,0.8406620625
1.1487276446,0.8406286161
1.1491460672,0.8406119328
1.1492688425,0.8404309632
1.1496065164,0.8404147548
1.14990672,0.8404565212
1.1502642965,0.8402875475
1.1505000793,0.8400049317
1.1507952784,0.8401035775
1.1512977189,0.8401270388
1.1515234387,0.8402503764
1.1519424512,0.8401916097
1.1522597854,0.8401694887
1.1525874764,0.8402890263
1.152894517,0.8403039097
1.153354643,0.8403584544
1.1536150799,0.8404207629
1.1538237376,0.8405485341
1.154003113,0.8405120868
1.1542889382,0.8406872213
1.1547731094,0.8406588522
1.1553392191,0.8407069492
1.1556693842,0.8409520461
1.1559748037,0.8412171104
1.1562375445,0.8410713654
1.1565276635,0.8408596687
1.1569226995,0.8410598413
1.1571510024,0.8409218539
1.1575069761,0.8409872106
1.1578765793,0.8409379067
1.1581170739,0.8408720607
1.1584627765,0.8409073247
1.1585755579,0.8409954844
1.1589021552,0.8409748607
1.1591630259,0.8409280506
1.1595942048,0.8408349631
1.1598428474,0.840788186
1.160069595,0.8407043343
1.1602123997,0.8405500184
1.1603414458,0.8406220979
1.1606077762,0.840806449
1.1609020721,0.8410871162
1.161280416,0.8409716774
1.161616928,0.8406877821
1.1618594831,0.8406165242
1.1620161934,0.8406738839
1.1621457392,0.8404573861
1.1625123772,0.8403683568
1.1628076994,0.8403407625
1.1629932193,0.8402297303
1.1631810238,0.8402853721
1.163371131,0.840372992
1.1636537905,0.8403694146
1.1638428814,0.8402775492
1.164075837,0.8401877125
1.1644163527,0.8400036675
1.1646880601,0.8401414721
1.1649693688,0.8401169657
1.1651638826,0.8400808953
1.16546542,0.8401006709
1.1656613944,0.8401381868
1.1659400263,0.840236671
1.1661492481,0.8402398982
1.1663595758,0.8402163264
1.1667524574,0.8402361851
1.1670677402,0.8402071037
1.1673834682,0.8399530542
1.1677368986,0.8399187538
1.1680591736,0.839792105
1.1683377703,0.8397520827
1.1684920513,0.8397237888
1.1686883411,0.8397121155
1.1690306674,0.8396918219
1.1692431858,0.8397091333
1.1694989735,0.8395875339
1.1698269119,0.8395585437
1.170100763,0.8394242532
1.1703666775,0.8394616912
1.1707379103,0.8395844921
1.1710600706,0.8396306001
1.1711438594,0.8397158058
1.1713750935,0.8395947253
1.1714816364,0.8395024748
1.171647069,0.8392888576
1.1719435821,0.8393864477
1.172114973,0.8393611189
1.1723205127,0.8393454073
1.1725455064,0.8394398394
1.1727154702,0.8393628086
1.1727627329,0.839303559
1.1729842454,0.8394687809
1.1732178449,0.8395088497
1.1733473565,0.8395514989
1.1734734092,0.8396075303
1.1737919535,0.8395562813
1.1739490058,0.839703668
1.1742860708,0.8397267857
1.1745401516,0.8397127354
1.1747808481,0.8396587416
1.1749989046,0.8398668649
1.1751583648,0.8403312136
1.1755502396,0.8403531698
1.175740955,0.8403495621
1.1757878924,0.8404302671
1.1759289748,0.8404134712
1.1762067015,0.8404791176
1.1763429983,0.8402829094
1.1765916283,0.8404573139
1.1766238383,0.8404253596
1.1767327699,0.8404627099
1.1768949462,0.8405826108
1.1771511414,0.8406401081
1.1774506755,0.8406414961
1.177617815,0.8407573535
1.1778179816,0.8409741111
1.1779252013,0.8409537395
1.178176097,0.8411890299
1.1783769625,0.8412275814
1.178441341,0.8412622096
1.1786472538,0.8413217109
1.1787651645,0.8413480958
1.1789729664,0.8413580903
1.1791750346,0.8411642646
1.1792922911,0.8412455588
1.1794691329,0.8411780072
1.1795948106,0.84111177
1.1796159639,0.841225471
1.1797291033,0.8412731872
1.1797998059,0.8412989154
1.1799508818,0.8413599307
1.1800394554,0.8413449987
1.1801189296,0.8412479712
1.1801804223,0.8412085041
1.180400324,0.8413482672
1.1805642623,0.8415119981
1.1807860369,0.8415128857
1.1809532298,0.841519727
1.1810266319,0.841478701
1.1812349281,0.8415135922
1.1812987236,0.8415308532
1.1814291198,0.8416761705
1.1815946816,0.8417783345
1.1817217763,0.8418014056
1.181714506,0.8417268466
