eGreedy time,Softmax time,Arm 3 mean
0.1301249194,0.1183772751,0.5
0.1965305154,0.2019042255,0.5
0.2452360626,0.2682783467,0.5
0.2725707445,0.3190597631,0.5
0.291864065,0.3560187827,0.5
0.3121686018,0.3801870534,0.5
0.3307495664,0.4108139113,0.5
0.3450822342,0.4270984222,0.5
0.3589621516,0.4431289561,0.5
0.368313614,0.4545494868,0.5
0.3776011059,0.4625458052,0.5
0.3849311214,0.4676537052,0.5
0.3918275212,0.4738318706,0.5
0.3969621704,0.4737898433,0.5
0.3970217858,0.4766367544,0.5
0.4003159122,0.4757414229,0.5
0.4070436567,0.4788394571,0.5
0.4118451451,0.4832865023,0.5
0.415147399,0.4852203283,0.5
0.4185448214,0.4863941276,0.5
0.4212556757,0.4892180925,0.5
0.4233287489,0.4893414745,0.5
0.4256946296,0.4908300516,0.5
0.4277463649,0.4918118881,0.5
0.4308813008,0.4922582977,0.5
0.4325337585,0.4939261529,0.5
0.4351221739,0.4925820308,0.5
0.4395699443,0.4929353026,0.5
0.4412902943,0.4935297383,0.5
0.4441508143,0.4946878312,0.5
0.4458327059,0.4948328081,0.5
0.4481831889,0.4949967469,0.5
0.4487906684,0.4940865068,0.5
0.4506878481,0.4937088059,0.5
0.4515298356,0.495175141,0.5
0.4528738261,0.4954308673,0.5
0.4542108044,0.4949368967,0.5
0.455554928,0.4944643894,0.5
0.4578573538,0.4944955973,0.5
0.4571307419,0.4946588908,0.5
0.4579593284,0.4947376453,0.5
0.4585659682,0.4940661798,0.5
0.4601639498,0.4940013131,0.5
0.4611789831,0.4944497758,0.5
0.4621650765,0.4944689414,0.5
0.4624232371,0.4951860972,0.5
0.4657906041,0.4951024191,0.5
0.4676910048,0.4957049506,0.5
0.4689472837,0.4946483218,0.5
0.4701034789,0.495528373,0.5
0.4714387757,0.4954601644,0.5
0.4723973849,0.4964174463,0.5
0.4734477529,0.4960268543,0.5
0.4739745179,0.4955701402,0.5
0.4741406078,0.495348773,0.5
0.474929802,0.4959567205,0.5
0.4752578438,0.4964885319,0.5
0.4762967278,0.4974314984,0.5
0.4755046261,0.4971745581,0.5
0.4753497302,0.4973694665,0.5
0.4771988364,0.4976649454,0.5
0.4771328953,0.4973410494,0.5
0.477571252,0.4972546575,0.5
0.47934202,0.4972742799,0.5
0.4788227413,0.4973353683,0.5
0.4798117333,0.4968023592,0.5
0.479629779,0.4968098181,0.5
0.4797387111,0.4962911433,0.5
0.4801865839,0.4968167439,0.5
0.4811675541,0.4970264042,0.5
0.4814886434,0.4967166437,0.5
0.4822487109,0.4969082928,0.5
0.482947533,0.4972483262,0.5
0.4823484281,0.4972893039,0.5
0.4827037226,0.4970152463,0.5
0.4831545973,0.4966526515,0.5
0.4835168259,0.4968266257,0.5
0.4836295868,0.4967254941,0.5
0.4845291796,0.4969209878,0.5
0.4845864713,0.4968699808,0.5
0.4850598476,0.4970501271,0.5
0.4854033535,0.4971375224,0.5
0.4859401176,0.4969009326,0.5
0.4866118127,0.4972774777,0.5
0.486038837,0.4974307912,0.5
0.4863944708,0.4975335125,0.5
0.4862669635,0.4978618607,0.5
0.4866417188,0.4978199371,0.5
0.4867976068,0.4975738966,0.5
0.4866324947,0.4972634255,0.5
0.4865447513,0.4970857308,0.5
0.4867044988,0.4969238892,0.5
0.486671561,0.4968802704,0.5
0.4867764162,0.4969333066,0.5
0.4873293766,0.4967689676,0.5
0.4876493319,0.4962711436,0.5
0.4889005555,0.4962846159,0.5
0.489498944,0.4968076186,0.5
0.4901161768,0.4966452155,0.5
0.4900323889,0.4966296826,0.5
0.4899084919,0.4965430356,0.5
0.4897968584,0.4966275591,0.5
0.4896490141,0.4966869481,0.5
0.4893795156,0.4970331408,0.5
0.4890238561,0.4970939248,0.5
0.4894532123,0.497295483,0.5
0.4895571961,0.4971005812,0.5
0.4902054069,0.4972571929,0.5
0.4900063474,0.4977241114,0.5
0.4902968833,0.4978267238,0.5
0.4907501928,0.4976933145,0.5
0.4909574778,0.4977708538,0.5
0.4916489967,0.497928976,0.5
0.4917525851,0.4981742255,0.5
0.4916432311,0.4981542315,0.5
0.4917932842,0.4983251971,0.5
0.4924372693,0.4984698727,0.5
0.4920856128,0.4982943572,0.5
0.4921673966,0.4982258193,0.5
0.4914135259,0.4982600364,0.5
0.4922007563,0.4982609753,0.5
0.4926264752,0.4982095988,0.5
0.4928728548,0.498227506,0.5
0.4927418874,0.4983746043,0.5
0.4932886066,0.4982839069,0.5
0.493915258,0.4984600555,0.5
0.4940987571,0.4984901982,0.5
0.4940370173,0.49854001,0.5
0.4943134253,0.4983856599,0.5
0.4941752292,0.4984195612,0.5
0.494213168,0.4986023623,0.5
0.4938809445,0.4987880369,0.5
0.4938090169,0.4987540282,0.5
0.4942306479,0.4987271514,0.5
0.4943468851,0.4985567173,0.5
0.4945075036,0.4985598869,0.5
0.4946770751,0.4988161968,0.5
0.4946411612,0.4987666794,0.5
0.4947229296,0.4988666465,0.5
0.4942974615,0.4987195052,0.5
0.4945850125,0.4986966699,0.5
0.4945302522,0.498574836,0.5
0.4939411049,0.4987523186,0.5
0.4939443955,0.4987275116,0.5
0.493639478,0.4986970182,0.5
0.4944531601,0.4987320982,0.5
0.4944970176,0.4987515708,0.5
0.4949216516,0.4987275857,0.5
0.4950694336,0.4989300296,0.5
0.4950119955,0.4989147193,0.5
0.4947359086,0.4988610255,0.5
0.4947215326,0.4990174039,0.5
0.4952234805,0.4989503639,0.5
0.495069317,0.4989145386,0.5
0.4954678141,0.4989661169,0.5
0.4961841547,0.4990475989,0.5
0.4962496776,0.4989846538,0.5
0.4966880376,0.4989309686,0.5
0.4969737195,0.4989130401,0.5
0.4969598561,0.4989397451,0.5
0.4971038641,0.4990459215,0.5
0.4971390469,0.4992961382,0.5
0.4968317265,0.4990407893,0.5
0.4972688993,0.4992061656,0.5
0.4972042961,0.4991541418,0.5
0.4972744001,0.4991673935,0.5
0.4975246476,0.4990887821,0.5
0.4975626039,0.4991771263,0.5
0.4976539736,0.4992178862,0.5
0.4977306338,0.4990562137,0.5
0.4978299838,0.4991604129,0.5
0.49743241,0.499007414,0.5
0.497267566,0.499000408,0.5
0.497491768,0.499070277,0.5
0.4975443846,0.4988231676,0.5
0.4978894685,0.4987442152,0.5
0.4975770941,0.4986645998,0.5
0.497510158,0.4988707805,0.5
0.4975258204,0.4990630554,0.5
0.4977263669,0.499074143,0.5
0.4976758281,0.4990212528,0.5
0.4980061481,0.4990595765,0.5
0.4983591401,0.4989759728,0.5
0.4981172424,0.4990486902,0.5
0.4980694049,0.4990805404,0.5
0.4980002884,0.4989332789,0.5
0.4982551018,0.4991652351,0.5
0.4981148168,0.499223308,0.5
0.4979898446,0.4991321616,0.5
0.4976076034,0.4991992021,0.5
0.4975342783,0.4992636513,0.5
0.4973584457,0.4992643157,0.5
0.4974748015,0.4992517055,0.5
0.4975358476,0.4991090028,0.5
0.4975622936,0.4992643078,0.5
0.4973820183,0.4993248016,0.5
0.4974301844,0.4992102128,0.5
0.4974688699,0.4992328551,0.5
0.4976925057,0.4993342673,0.5
0.4974763898,0.4992191697,0.5
0.4975343084,0.4990967131,0.5
0.4974235208,0.4991198897,0.5
0.4973364627,0.4991086447,0.5
0.4974103567,0.4990738352,0.5
0.4972641476,0.4990274691,0.5
0.4973006885,0.4990055905,0.5
0.4972272466,0.4991524806,0.5
0.4972163507,0.4992055744,0.5
0.4970386732,0.4993997384,0.5
0.4974328154,0.4995196553,0.5
0.4975699842,0.4995591163,0.5
0.4976148837,0.4994579106,0.5
0.4973883099,0.4995165587,0.5
0.4976875987,0.4997034693,0.5
0.4978565318,0.4995411714,0.5
0.497762631,0.4995645373,0.5
0.4979484605,0.4995215834,0.5
0.4979583771,0.4995034669,0.5
0.4981537152,0.4995811891,0.5
0.4980329576,0.4998111889,0.5
0.4977017505,0.4996728512,0.5
0.4977101878,0.4997265042,0.5
0.497629603,0.4996815707,0.5
0.4975111264,0.4996310494,0.5
0.497872561,0.4996712632,0.5
0.498078312,0.4996435725,0.5
0.4980007823,0.4996621693,0.5
0.4978599733,0.4997162858,0.5
0.497696042,0.4996936984,0.5
0.4977466689,0.4996589586,0.5
0.4976683287,0.4996592888,0.5
0.4976374793,0.4996320448,0.5
0.4975925671,0.4995317943,0.5
0.4975584741,0.4995557278,0.5
0.4975279855,0.4994728262,0.5
0.4975308099,0.4994111605,0.5
0.4974962167,0.4993982314,0.5
0.4975687266,0.4994090405,0.5
0.4974995529,0.4994151391,0.5
0.497584602,0.4994467572,0.5
0.4975961875,0.4994538246,0.5
0.4977072092,0.4993902313,0.5
0.4979974297,0.4992219224,0.5
0.4984507681,0.4993081733,0.5
0.4983063307,0.4992828635,0.5
0.4981042657,0.4991773679,0.5
0.4982996757,0.4993631202,0.5
0.4982448647,0.4993502761,0.5
0.4983284791,0.4992847573,0.5
0.498348463,0.4992491308,0.5
0.4984030061,0.4993451645,0.5
0.4984881358,0.4993872174,0.5
0.498658398,0.4994080284,0.5
0.4985299243,0.4994208465,0.5
0.4983434278,0.4994504808,0.5
0.4983131974,0.4994827865,0.5
0.4982265319,0.4994542062,0.5
0.4982929181,0.4994401941,0.5
0.498528308,0.4995309898,0.5
0.4985152464,0.4996310356,0.5
0.4984056546,0.4996389099,0.5
0.4983816131,0.4995774552,0.5
0.498215398,0.4995870746,0.5
0.4980679497,0.4996412697,0.5
0.4981385052,0.4995304859,0.5
0.49810074,0.4994575661,0.5
0.4982975215,0.4995269968,0.5
0.4983346797,0.4995952772,0.5
0.4979928389,0.4996808363,0.5
0.4981451435,0.4996387763,0.5
0.4981888117,0.4996547843,0.5
0.4983861408,0.4996340974,0.5
0.4986147333,0.4996423694,0.5
0.4986482322,0.4996083177,0.5
0.4984709373,0.4996458717,0.5
0.4984272371,0.4996948652,0.5
0.4980885008,0.4996268076,0.5
0.4979429687,0.4994551055,0.5
0.4978856158,0.4994785761,0.5
0.4977974423,0.4994217656,0.5
0.4977617409,0.4995282828,0.5
0.4977879732,0.4994082668,0.5
0.4975005647,0.4994544503,0.5
0.4977057132,0.4994896076,0.5
0.4979180087,0.4994601113,0.5
0.4978993352,0.4994279566,0.5
0.4979991177,0.4994531744,0.5
0.4981736766,0.4995084204,0.5
0.4982588201,0.4995853729,0.5
0.4983659569,0.4996036492,0.5
0.4984698647,0.4995726351,0.5
0.4984352966,0.4994972065,0.5
0.4983304994,0.4995714785,0.5
0.4980530884,0.4996691074,0.5
0.4980440248,0.4995977693,0.5
0.4982185473,0.4995511778,0.5
0.4982350483,0.4995587182,0.5
0.4982465421,0.4995613051,0.5
0.4984642688,0.4995266551,0.5
0.4983297245,0.4996383084,0.5
0.4982079461,0.4996909252,0.5
0.4980632104,0.4997918684,0.5
0.4981100228,0.4997475413,0.5
0.4980300954,0.4996126733,0.5
0.4980729912,0.4996616536,0.5
0.4981668852,0.4996277123,0.5
0.4979520878,0.4997286449,0.5
0.4976838169,0.4996912881,0.5
0.4975997116,0.4996622436,0.5
0.4977293496,0.4996284406,0.5
0.4976742136,0.4995939203,0.5
0.4978855115,0.4997381696,0.5
0.497792261,0.4996997669,0.5
0.4978906068,0.499590101,0.5
0.4979331158,0.4995320953,0.5
0.4977276108,0.499552611,0.5
0.4975150596,0.4995630574,0.5
0.4977219969,0.4996294033,0.5
0.4974020384,0.4994946526,0.5
0.4975120619,0.4994644562,0.5
0.4976384031,0.4993773996,0.5
0.4976063346,0.4994230907,0.5
0.4977859408,0.4994132893,0.5
0.4977371695,0.4994244521,0.5
0.4975443656,0.4993847381,0.5
0.4978484221,0.4993736514,0.5
0.4977912511,0.4993680134,0.5
0.4978839996,0.4992862468,0.5
0.4980554865,0.4992322794,0.5
0.4980423188,0.4992310743,0.5
0.4980398622,0.499232134,0.5
0.4982993062,0.4992416378,0.5
0.4981724167,0.4992407543,0.5
0.4981992132,0.4992733505,0.5
0.4983995802,0.4993039657,0.5
0.4982233889,0.4993920835,0.5
0.4982949152,0.4994410879,0.5
0.4981914346,0.4994535832,0.5
0.4982261683,0.4994507301,0.5
0.4982439253,0.4994304831,0.5
0.4982434311,0.4994814571,0.5
0.4981750991,0.4995791164,0.5
0.4982277781,0.4995972547,0.5
0.4983210317,0.4995057443,0.5
0.4983223275,0.4994071213,0.5
0.4983244653,0.499413575,0.5
0.4982945607,0.4995219704,0.5
0.4981828442,0.4994556051,0.5
0.4981102659,0.4993825749,0.5
0.4980092733,0.4993915402,0.5
0.4979559845,0.4993369843,0.5
0.4978477937,0.4993288219,0.5
0.4978926232,0.4992718615,0.5
0.4977718223,0.4992562067,0.5
0.498036929,0.4992610174,0.5
0.4980180439,0.4993133274,0.5
0.4980763358,0.4992614624,0.5
0.4979915748,0.4992114157,0.5
0.4981901934,0.4991887484,0.5
0.4980519638,0.4992676804,0.5
0.4978092167,0.499344312,0.5
0.4979770253,0.4994186848,0.5
0.4979204975,0.4993863533,0.5
0.4979651421,0.4994571996,0.5
0.4978114316,0.4995483856,0.5
0.4977348935,0.4995133126,0.5
0.4975572225,0.4994901645,0.5
