eGreedy time,Softmax time,Arm 1 mean
0.3350774504,0.3268804104,1.3
0.5210402953,0.5582185344,1.3
0.6203219908,0.7078514634,1.3
0.6776204211,0.8343732718,1.3
0.7246979342,0.9194560662,1.3
0.7603542906,1.0046451488,1.3
0.7934015384,1.0719077632,1.3
0.8253877937,1.109156429,1.3
0.8544438685,1.1518080664,1.3
0.8722642399,1.1739653444,1.3
0.8880490356,1.1903079899,1.3
0.9046931463,1.1961590915,1.3
0.915723976,1.2111215791,1.3
0.9194379453,1.2221490128,1.3
0.9258459196,1.2348822287,1.3
0.9370186197,1.2415930137,1.3
0.9522418289,1.2487398761,1.3
0.9645843462,1.2531410929,1.3
0.972038267,1.2603282896,1.3
0.9822286085,1.26378781,1.3
0.9884486767,1.2666655497,1.3
0.998071926,1.2745689513,1.3
1.006476504,1.2783136306,1.3
1.0106002045,1.2790380547,1.3
1.0210353261,1.2797295483,1.3
1.0262920937,1.2826393948,1.3
1.0360528216,1.2857406763,1.3
1.0426154839,1.2857085748,1.3
1.0438414738,1.2845402656,1.3
1.0453865396,1.2851151235,1.3
1.0502839791,1.2860494042,1.3
1.0511683054,1.2868515523,1.3
1.0555196672,1.2874246207,1.3
1.0625388064,1.2899856038,1.3
1.0645881237,1.2912157949,1.3
1.0699192108,1.2912191449,1.3
1.0737139712,1.2934545921,1.3
1.0766574145,1.2921968311,1.3
1.0790376622,1.291599544,1.3
1.0830351454,1.2918789835,1.3
1.0871718792,1.2907727752,1.3
1.0908225607,1.2908160933,1.3
1.0922833921,1.2906252446,1.3
1.0947503446,1.2886753077,1.3
1.0950373216,1.289060869,1.3
1.0976268095,1.2888701249,1.3
1.0980943106,1.2891298197,1.3
1.1004461441,1.2868420684,1.3
1.1019626034,1.2869743174,1.3
1.1047800657,1.2855859377,1.3
1.1059822209,1.2862486137,1.3
1.1086978755,1.2856934092,1.3
1.1093273293,1.2858291556,1.3
1.1112483095,1.2866679143,1.3
1.112731767,1.2868125512,1.3
1.1145474401,1.2876643381,1.3
1.1151415352,1.2874396063,1.3
1.1174453929,1.287947745,1.3
1.1195200574,1.2873914458,1.3
1.1202816903,1.288164196,1.3
1.1204912862,1.2875465952,1.3
1.1238018096,1.2868332706,1.3
1.1240733538,1.2863526181,1.3
1.1257108949,1.2874888834,1.3
1.1264907261,1.2880818631,1.3
1.1264169445,1.28814022,1.3
1.1281541284,1.2893219962,1.3
1.1292579696,1.2895268265,1.3
1.1291215101,1.2891364364,1.3
1.1300760141,1.2893492856,1.3
1.1328928448,1.2893254886,1.3
1.1346428701,1.2890771508,1.3
1.1343395952,1.2889911032,1.3
1.1401915029,1.2876821986,1.3
1.1422407984,1.2877857537,1.3
1.1426269909,1.2876059896,1.3
1.1436071873,1.2872793235,1.3
1.1442955171,1.2867142997,1.3
1.1457824177,1.2877538677,1.3
1.1469813125,1.2880198339,1.3
1.1474532515,1.2882042375,1.3
1.1490551741,1.2879380131,1.3
1.1488928626,1.28733,1.3
1.149702055,1.2879580071,1.3
1.1494132638,1.2881936031,1.3
1.1485592683,1.2880416676,1.3
1.1489648166,1.2878857667,1.3
1.1505740483,1.2883738103,1.3
1.1520849742,1.2884196713,1.3
1.1540948908,1.2884612499,1.3
1.154481154,1.2893386921,1.3
1.156074362,1.2897152287,1.3
1.1579441942,1.2902127324,1.3
1.1580266174,1.2896912859,1.3
1.1593643876,1.2899420934,1.3
1.1593598323,1.2899224272,1.3
1.1602840711,1.2905402622,1.3
1.1615922953,1.2907399733,1.3
1.1611554331,1.2908631981,1.3
1.1621121006,1.2913399641,1.3
1.1634502093,1.2920325112,1.3
1.1638519611,1.2919975513,1.3
1.1646240739,1.2919693541,1.3
1.1651052738,1.2915294574,1.3
1.1650541112,1.2920905772,1.3
1.1654801823,1.2923346051,1.3
1.1667822706,1.2914321717,1.3
1.1671617919,1.2918022989,1.3
1.1671878385,1.2917971419,1.3
1.167646307,1.2922951483,1.3
1.1677414682,1.2921648724,1.3
1.1681497868,1.2921052041,1.3
1.1685669119,1.291403632,1.3
1.1689927958,1.2913870677,1.3
1.1700552808,1.2920517534,1.3
1.1703890019,1.2924968174,1.3
1.1705702523,1.2927241278,1.3
1.1708857471,1.292859989,1.3
1.1706658395,1.2930168484,1.3
1.1705653474,1.2928758029,1.3
1.1716858078,1.2925949786,1.3
1.1723197551,1.2926440209,1.3
1.1723924285,1.2924162556,1.3
1.1731905476,1.2925249932,1.3
1.1739259707,1.2926428443,1.3
1.1757098785,1.2925846753,1.3
1.1760129392,1.2923263501,1.3
1.177183709,1.2921085955,1.3
1.1776398744,1.292236143,1.3
1.1785243246,1.2921116747,1.3
1.1780825068,1.29223308,1.3
1.1778630424,1.2926216638,1.3
1.1782248204,1.2925636301,1.3
1.178654989,1.2924944085,1.3
1.1804202249,1.2921119135,1.3
1.1818732703,1.2919922923,1.3
1.1833090347,1.2917688468,1.3
1.1833448305,1.292258035,1.3
1.1829683387,1.2924723461,1.3
1.1828415453,1.2929110811,1.3
1.1831667603,1.2931314618,1.3
1.1831562782,1.2934847082,1.3
1.1833252126,1.2934038882,1.3
1.1844779073,1.2939302092,1.3
1.1864851936,1.2944063143,1.3
1.1872939542,1.2943494393,1.3
1.1877206294,1.2942926951,1.3
1.187694016,1.2939777153,1.3
1.1872627809,1.2938543948,1.3
1.1876351201,1.2935371006,1.3
1.1883704727,1.2935415004,1.3
1.1885146987,1.2934164675,1.3
1.1893760576,1.2932136162,1.3
1.189479459,1.2933103412,1.3
1.1891522045,1.2934503452,1.3
1.1893429355,1.2936275623,1.3
1.1898498082,1.2935748177,1.3
1.1899004966,1.2933612359,1.3
1.1893790885,1.2931004908,1.3
1.1895156881,1.2932316861,1.3
1.1898001959,1.2930725053,1.3
1.1902343381,1.2932258893,1.3
1.1902802398,1.2934760181,1.3
1.1904462844,1.2938528417,1.3
1.1897726765,1.294238859,1.3
1.1897700945,1.2944670388,1.3
1.1899532879,1.2942416273,1.3
1.190128392,1.2941093052,1.3
1.1902972155,1.2941098216,1.3
