Combined average reward,Arm 1,stdev,Picked Arm 1,Arm 2,stdev,Picked Arm 2,Arm 3,stdev,Picked Arm 3,Arm 4,stdev,Picked Arm 4
0.7812272684367277,0.3268804104326804,0.7147543852748941,0.2495000000000002,0.27568072966000845,0.5627941742207094,0.25350000000000017,0.11837727509440855,0.28411108833827853,0.2440000000000002,0.060288853249629515,1.0219546279830418,0.25300000000000017
0.8015829054176223,0.5582185343736746,0.8461992112619038,0.5204999999999987,0.4662841499542151,0.6528562471908039,0.5065,0.20190422552415985,0.33978492464951804,0.47900000000000037,0.08207368919469285,1.2317759315339707,0.4940000000000004
0.8086653802011271,0.7078514634314451,0.8838093273533505,0.7809999999999847,0.6050471288321603,0.6784927535000658,0.7654999999999853,0.2682783466808151,0.36783122298463594,0.7139999999999873,0.09341970049800055,1.343686361312251,0.739499999999986
0.8163544879071624,0.8343732717979806,0.8808967306914574,1.0499999999999727,0.7143470995282103,0.6715129606487737,1.0329999999999733,0.31905976306220485,0.37617736327680185,0.9464999999999777,0.0842721768127277,1.4079483697166644,0.9704999999999752
0.8237551134716306,0.9194560661997134,0.8549319848900713,1.323499999999959,0.7851675217177,0.6505866054544094,1.297499999999962,0.35601878269977183,0.372275058457171,1.1764999999999686,0.09572220674318005,1.443100891626799,1.202499999999964
0.8311672577827086,1.0046451488380412,0.8238155127909537,1.6109999999999567,0.8483886624431636,0.619239203266502,1.557499999999956,0.3801870534312863,0.36263957690714027,1.3959999999999593,0.10922878623457892,1.463555906810456,1.435499999999959
0.8284443385123635,1.0719077631888958,0.7831478853421295,1.894499999999954,0.8922722715536281,0.5889902991313508,1.8069999999999538,0.4108139112943721,0.3530226990726302,1.6399999999999506,0.09991014490835164,1.448763013363145,1.6584999999999521
0.8293195129309427,1.1091564290211986,0.7389515271237427,2.184499999999958,0.9312186484755747,0.5583676243698315,2.0599999999999548,0.42709842217504,0.3379406541386653,1.8799999999999493,0.09445144833846389,1.43511458995255,1.8754999999999495
0.8338049428205183,1.1518080664391517,0.7000646690148635,2.4569999999999577,0.9603642867296474,0.5272320941608744,2.3164999999999614,0.44312895608413955,0.3237291919613312,2.131999999999955,0.09877972963809148,1.4348521416960327,2.094499999999954
0.8356178115415666,1.1739653444353377,0.6701867971143339,2.719499999999954,0.9808172582490001,0.4999820898996884,2.5774999999999544,0.4545494867556198,0.3110012443029296,2.3714999999999535,0.10500187065027239,1.4015143618532033,2.3314999999999535
0.8363428764715892,1.190307989852341,0.6315649219378985,3.015499999999951,1.003271055976091,0.46879835473409387,2.83999999999995,0.46254580516750604,0.2953939759325489,2.6044999999999523,0.10664833546649938,1.3935431379570076,2.5399999999999587
0.8372211152377759,1.1961590914705997,0.6009107752269482,3.307499999999947,1.0217409279243674,0.43497297918767086,3.105999999999948,0.46765370521176947,0.2847514606348259,2.83249999999995,0.10230491166189538,1.3581596902390245,2.753999999999958
0.8426752196942018,1.2111215791200785,0.5742358559161386,3.584999999999942,1.0332778754592942,0.41410082322199165,3.3939999999999424,0.4738318705746216,0.2764602245416556,3.047499999999948,0.11530250525100515,1.3326602669723147,2.9734999999999583
0.8410384252004318,1.2221490128314862,0.5518875682750667,3.868499999999939,1.045414932137246,0.3952582571226606,3.6464999999999437,0.4737898432801314,0.26183967979016615,3.291999999999945,0.10965924880405029,1.3193021716467146,3.192999999999958
0.8397658587972741,1.2348822287196424,0.5331165137607671,4.136999999999943,1.0505216905111419,0.3739058139130004,3.909499999999941,0.4766367544242503,0.2523472856078394,3.533499999999938,0.10581320492365098,1.2874330064539934,3.4199999999999546
0.8381348058705703,1.2415930137478794,0.5128164595114358,4.419499999999952,1.0581262076547122,0.35435976005632613,4.175499999999945,0.47574142294630745,0.2429746764390559,3.774999999999934,0.10281191549940358,1.2534528672731127,3.6299999999999533
0.8381225776658654,1.248739876105884,0.48587725926378156,4.709999999999959,1.0622682318926548,0.33946004513841527,4.457999999999957,0.47883945714382525,0.23646389975014376,3.987999999999933,0.10398372399862406,1.2185820112168027,3.8439999999999466
0.8405201231915383,1.2531410929181694,0.4703856783887224,5.01099999999997,1.0637615906018072,0.32742182993615815,4.730999999999957,0.48328650232858755,0.22683159643778095,4.1994999999999445,0.1070002195931595,1.1945448943680153,4.058499999999953
0.8429374137024598,1.26032828959587,0.4547994678676227,5.293999999999971,1.0656775677334829,0.31530481733633847,5.013999999999957,0.4852203282598449,0.21530244773528573,4.42649999999995,0.11630628061774725,1.1712222906708414,4.26549999999996
0.8436216754165246,1.2637878099956614,0.43586843313446216,5.58449999999998,1.0674730409550008,0.3064587509988221,5.281499999999966,0.48639412760848233,0.20756515428094466,4.651999999999959,0.11939535364958972,1.152233569531918,4.481999999999962
0.8423361182097562,1.2666655497393946,0.41907405347336485,5.891999999999984,1.069745036111185,0.2987835193658546,5.53399999999997,0.48921809250205894,0.20322840734610337,4.883499999999965,0.11920470698284025,1.1186368609610944,4.690499999999965
0.8427225256574552,1.2745689513358993,0.39756222300502486,6.1844999999999635,1.076666404879487,0.2868017850092886,5.805499999999959,0.4893414744673571,0.1981024123684536,5.113999999999971,0.11423131783431414,1.0951473510331706,4.895999999999964
0.8432268748488576,1.2783136305618754,0.38648245295825345,6.465999999999951,1.0781945687375643,0.27884591950950605,6.085999999999956,0.49083005163436366,0.1938479349889475,5.3399999999999705,0.11613293436911412,1.080063817548923,5.107999999999966
